|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
| 10  |True   |  440  |9.197190e-06|9.210604e-06|1.280852e-13|   0   |
|  7  |True   |  602  |9.923068e-06|1.011210e-05|1.239329e-12|   7   |
|  3  |True   |  627  |9.596377e-06|9.956955e-06|8.738002e-10|   7   |
| 11  |True   |  615  |9.943508e-06|1.149016e-05|7.433893e-14|   7   |
|  9  |True   |  646  |9.665261e-06|1.143616e-05|7.740785e-14|   9   |
|  6  |True   |  653  |9.735066e-06|1.217101e-05|1.050502e-13|   8   |
|  2  |True   |  654  |9.127005e-06|1.052663e-05|9.597511e-10|   9   |
|  5  |True   |  842  |9.421273e-06|1.072737e-05|7.502420e-10|  19   |
|  4  |True   |  877  |9.821525e-06|1.528188e-05|8.026358e-10|  21   |
| 13  |True   |  446  |9.584155e-06|9.591784e-06|7.296077e-13|   0   |
| 12  |True   | 1006  |9.657465e-06|1.686721e-05|6.316378e-10|  27   |
|  1  |True   | 1002  |9.636518e-06|1.934000e-05|7.631102e-10|  23   |
|  0  |True   | 1327  |9.342247e-06|1.373945e-05|3.806798e-10|  50   |
|  8  |True   | 1370  |9.941490e-06|1.435941e-05|6.191583e-10|  30   |
| 20  |True   |  462  |9.241185e-06|1.017912e-05|1.757522e-13|   1   |
| 16  |True   |  700  |9.179590e-06|1.121763e-05|9.972138e-10|  10   |
| 14  |True   |  798  |9.967814e-06|1.199505e-05|9.047533e-14|  16   |
| 15  |True   |  827  |9.785116e-06|1.100987e-05|6.961990e-10|  19   |
| 17  |True   |  764  |9.431460e-06|1.503754e-05|9.460279e-10|  13   |
| 21  |True   |  680  |9.773248e-06|1.246510e-05|9.425063e-14|  11   |
| 19  |True   |  891  |9.764219e-06|1.927522e-05|8.562574e-10|  19   |
| 25  |True   |  492  |9.374420e-06|1.094650e-05|1.115354e-13|   2   |
| 24  |True   | 1009  |9.946535e-06|1.019451e-05|4.495951e-10|  20   |
| 32  |True   |  444  |9.267325e-06|9.355821e-06|1.013811e-13|   0   |
| 27  |True   |  725  |9.772144e-06|1.842252e-05|6.524247e-14|  14   |
| 30  |True   |  866  |9.447118e-06|1.604818e-05|9.162183e-10|  18   |
| 29  |True   |  949  |9.047439e-06|1.758313e-05|8.406409e-10|  23   |
| 28  |True   | 1053  |9.804656e-06|1.318668e-05|5.493194e-10|  22   |
| 33  |True   |  864  |9.772317e-06|1.101942e-05|5.301452e-10|  20   |
| 23  |True   | 1713  |9.214185e-06|1.091897e-05|3.406799e-10|  54   |
| 36  |True   |  583  |9.539499e-06|1.129623e-05|1.094410e-13|   5   |
| 26  |True   | 1501  |9.743120e-06|1.743590e-05|5.197893e-10|  48   |
| 35  |True   |  737  |9.478265e-06|2.501633e-05|8.842021e-14|  16   |
| 31  |True   | 1308  |9.684948e-06|1.568437e-05|2.458178e-12|  35   |
| 34  |True   | 1052  |9.504470e-06|1.685940e-05|6.229748e-10|  25   |
| 37  |True   |  839  |9.168493e-06|1.295520e-05|7.748903e-10|  21   |
| 22  |True   | 2206  |9.223639e-06|1.586058e-05|2.968245e-10|  83   |
| 40  |True   |  653  |9.979858e-06|1.116101e-05|7.082775e-10|  14   |
| 42  |True   |  445  |9.410856e-06|9.414966e-06|1.392025e-13|   0   |
| 39  |True   |  822  |9.637114e-06|1.333685e-05|8.184350e-14|  17   |
| 38  |True   |  849  |9.301021e-06|1.197661e-05|8.328796e-10|  19   |
| 43  |True   |  655  |9.028706e-06|1.547632e-05|9.333516e-14|   9   |
| 41  |True   |  873  |9.314455e-06|1.195994e-05|9.218940e-14|  16   |
| 18  |True   | 3093  |9.878265e-06|1.326178e-05|1.162024e-11|  100  |
| 48  |True   |  624  |9.069301e-06|1.494091e-05|8.751406e-13|  13   |
| 47  |True   |  584  |9.940517e-06|9.984944e-06|9.589346e-10|   7   |
| 50  |True   |  899  |9.148040e-06|1.111234e-05|1.386932e-13|  23   |
| 44  |True   | 1321  |9.866157e-06|1.540943e-05|6.407337e-10|  31   |
| 46  |True   | 1252  |9.501778e-06|1.211663e-05|1.612117e-12|  29   |
| 53  |True   |  874  |9.603897e-06|1.193259e-05|9.223567e-10|  17   |
| 56  |True   |  496  |9.388474e-06|1.049286e-05|1.768264e-13|   2   |
| 58  |True   |  444  |9.682483e-06|9.695174e-06|1.516810e-13|   0   |
| 45  |True   | 1499  |9.319868e-06|9.903173e-06|3.920231e-10|  38   |
| 55  |True   |  933  |9.901997e-06|1.859274e-05|5.641686e-13|  23   |
| 62  |True   |  458  |9.227175e-06|9.293078e-06|1.231401e-12|   0   |
| 54  |True   | 1407  |9.395935e-06|2.115667e-05|6.121948e-10|  43   |
| 59  |True   |  678  |9.007879e-06|1.158612e-05|8.682492e-10|  12   |
| 52  |True   | 1704  |9.544965e-06|1.246924e-05|4.129487e-10|  57   |
| 57  |True   | 1333  |9.730253e-06|3.161349e-05|7.665282e-10|  39   |
| 49  |True   | 2121  |9.852178e-06|1.113993e-05|6.637507e-10|  58   |
| 60  |True   | 1061  |9.721336e-06|1.343586e-05|7.188408e-10|  25   |
| 66  |True   |  697  |9.802423e-06|1.088297e-05|7.524818e-14|   4   |
| 51  |True   | 2322  |9.951173e-06|4.577203e-05|8.463263e-10|  75   |
| 64  |True   | 1109  |9.765901e-06|1.244193e-05|7.945050e-10|  24   |
| 69  |True   |  606  |9.701710e-06|9.906096e-06|3.230787e-12|   4   |
| 68  |True   |  976  |9.934921e-06|1.187860e-05|7.904629e-10|  21   |
| 72  |True   |  490  |9.437370e-06|9.466841e-06|1.278636e-13|   0   |
| 73  |True   |  480  |9.538731e-06|9.568630e-06|7.077271e-13|   0   |
| 71  |True   |  681  |9.474429e-06|1.062856e-05|8.709665e-10|  11   |
| 67  |True   | 1225  |9.035700e-06|1.413204e-05|5.529340e-10|  37   |
| 70  |True   | 1065  |9.419002e-06|1.474360e-05|8.644971e-10|  23   |
| 63  |True   | 1946  |9.786138e-06|1.314093e-05|9.718644e-10|  52   |
| 74  |True   |  698  |9.584617e-06|1.129381e-05|8.863989e-14|   5   |
