kkt
2,280,291,0.1,0.0
4,353,327,1.2,0.0
8,386,334,2.8,0.0
16,436,341,4.5,0.0
32,554,359,10.7,0.0
64,804,521,24.8,8.0
128,1194,726,46.2,20.0
256,1062,648,40.4,18.5
512,1062,634,40.3,17.5
1024,948,553,35.0,10.0

[256]*0,1650,981,72.9,34.5
[256]*1,1062,648,40.4,18.5
[256]*2,902,571,31.1,12.0
[256]*3,823,543,26.7,9.0
[256]*4,685,442,19.1,5.0
[256]*5,757,424,23.8,4.5
[256]*6,717,422,21.0,3.5

barr
2,294,309,0.1,0.0
4,360,339,1.3,0.0
8,377,338,2.0,0.0
16,410,332,4.1,0.0
32,709,335,10.8,0.0
64,723,501,24.8,8.5
128,1009,656,43.6,20.5
256,954,598,41.1,17.0
512,927,579,39.8,17.5
1024,892,452,38.3,8.5

[256]*0,1258,837,60.9,33.5
[256]*1,954,598,41.1,17.0
[256]*2,870,512,35.5,11.5
[256]*3,717,474,25.4,8.5
[256]*4,605,406,18.2,4.5
[256]*5,621,396,19.7,3.5
[256]*6,584,376,16.8,3.0
