|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  1  |True   |  754  |9.976476e-06|1.005187e-05|2.211437e-10|  26   |
|  0  |True   | 2178  |9.540114e-06|1.029708e-05|2.202489e-10|  105  |
|  3  |True   |  502  |9.270943e-06|9.377030e-06|9.933807e-10|  10   |
|  4  |True   |  574  |9.508957e-06|9.591939e-06|1.424757e-12|  17   |
|  2  |True   | 3166  |9.182649e-06|1.103135e-05|4.153953e-11|  173  |
|  5  |True   |  700  |9.278867e-06|9.291336e-06|3.165593e-10|  22   |
|  6  |True   |  709  |9.048809e-06|1.157983e-05|1.409221e-10|  24   |
|  7  |True   |  578  |9.770720e-06|9.802027e-06|5.582775e-10|  17   |
|  9  |True   |  307  |9.538186e-06|9.749633e-06|4.577988e-10|   0   |
|  8  |True   | 1235  |9.219541e-06|9.399750e-06|1.549113e-10|  57   |
| 10  |True   |  320  |9.269769e-06|9.376054e-06|4.015509e-10|   0   |
| 11  |True   |  349  |9.083446e-06|9.241564e-06|1.790002e-10|   1   |
| 12  |True   |  314  |9.895929e-06|9.923101e-06|3.435253e-10|   0   |
| 14  |True   |  414  |9.295160e-06|9.391247e-06|3.910356e-10|   6   |
| 13  |True   |  986  |9.321833e-06|9.338030e-06|1.990596e-10|  43   |
| 16  |True   |  540  |9.901374e-06|1.024627e-05|8.130460e-10|  15   |
| 15  |True   |  937  |9.034386e-06|9.240690e-06|1.744248e-10|  39   |
| 18  |True   |  306  |9.106415e-06|9.388769e-06|5.382741e-10|   0   |
| 17  |True   |  574  |9.654726e-06|9.990012e-06|6.144187e-10|  17   |
| 20  |True   |  320  |9.624706e-06|9.842488e-06|5.725722e-10|   0   |
| 19  |True   |  572  |9.526125e-06|1.046686e-05|2.491071e-10|  18   |
| 22  |True   |  303  |9.776623e-06|9.807083e-06|2.406619e-10|   0   |
| 23  |True   |  420  |9.050809e-06|9.127020e-06|2.709145e-10|   7   |
| 21  |True   | 1603  |9.267511e-06|9.298128e-06|5.124271e-10|  84   |
| 25  |True   |  315  |9.954907e-06|1.022065e-05|6.229137e-10|   0   |
| 26  |True   | 2315  |9.230391e-06|9.565988e-06|2.957822e-10|  124  |
| 27  |True   |  303  |9.571708e-06|9.769490e-06|2.432476e-12|   0   |
| 28  |True   |  436  |9.938923e-06|1.059426e-05|9.779150e-13|   4   |
| 24  |True   | 4764  |9.243093e-06|1.901428e-05|5.000325e-11|  284  |
| 29  |True   | 1374  |9.671871e-06|1.100603e-05|3.087977e-11|  76   |
| 31  |True   |  329  |9.409964e-06|9.460408e-06|1.370311e-10|   0   |
| 30  |True   | 2003  |9.157676e-06|9.178081e-06|2.221510e-10|  112  |
| 32  |True   | 1548  |9.029560e-06|9.256209e-06|1.886840e-10|  77   |
| 33  |True   |  749  |9.776927e-06|9.951536e-06|3.667362e-10|  20   |
| 35  |True   |  293  |9.733350e-06|9.919687e-06|2.128197e-10|   0   |
| 34  |True   | 1038  |9.909856e-06|1.052338e-05|2.727846e-10|  48   |
| 36  |True   |  948  |9.043025e-06|9.450716e-06|1.749333e-10|  37   |
| 37  |True   |  485  |9.587592e-06|9.629918e-06|3.757533e-10|  10   |
| 38  |True   | 2256  |9.404369e-06|9.497173e-06|9.698000e-11|  129  |
| 40  |True   |  384  |9.043791e-06|9.357888e-06|1.825305e-10|   3   |
| 39  |True   | 3300  |9.503688e-06|9.735765e-06|7.018454e-11|  198  |
| 41  |True   |  325  |9.113612e-06|9.198211e-06|3.317607e-10|   0   |
| 42  |True   |  592  |9.359188e-06|9.873054e-06|2.325547e-10|  18   |
| 44  |True   |  472  |9.535876e-06|9.558340e-06|2.306852e-10|   6   |
| 43  |True   | 1583  |9.287376e-06|9.308645e-06|3.434260e-10|  84   |
| 45  |True   |  737  |9.102065e-06|9.739309e-06|7.923181e-10|  22   |
| 47  |True   |  336  |9.572707e-06|9.574832e-06|4.213488e-10|   0   |
| 48  |True   |  331  |9.084569e-06|9.192140e-06|6.138282e-10|   1   |
| 46  |True   | 1861  |9.981408e-06|1.001015e-05|6.531341e-11|  101  |
| 49  |True   |  667  |9.871538e-06|9.940112e-06|1.657304e-10|  18   |
| 50  |True   |  316  |9.460554e-06|9.527290e-06|4.754355e-10|   0   |
| 51  |True   |  361  |9.942545e-06|1.016914e-05|7.542702e-10|   2   |
| 52  |True   |  451  |9.118048e-06|9.481503e-06|8.170272e-10|   8   |
| 53  |True   |  296  |9.690967e-06|9.725737e-06|1.755732e-10|   0   |
| 55  |True   |  839  |9.490485e-06|9.616333e-06|1.964334e-10|  31   |
| 54  |True   | 1699  |9.778166e-06|1.081388e-05|8.723925e-13|  87   |
| 56  |True   |  849  |9.541145e-06|9.966982e-06|1.294245e-10|  34   |
| 57  |True   |  582  |9.750131e-06|9.764204e-06|1.833510e-10|  14   |
| 59  |True   |  737  |9.609307e-06|1.001431e-05|3.151229e-10|  25   |
| 58  |True   | 1951  |9.993994e-06|1.011792e-05|4.923644e-11|  118  |
| 60  |True   | 1266  |9.030434e-06|9.041699e-06|2.543130e-10|  54   |
| 61  |True   |  709  |9.070488e-06|9.227960e-06|1.576505e-10|  19   |
| 63  |True   |  315  |9.248359e-06|9.365478e-06|2.984139e-10|   0   |
| 62  |True   |  896  |9.304578e-06|9.687758e-06|6.947806e-13|  39   |
| 64  |True   |  302  |9.695092e-06|9.757386e-06|2.026119e-10|   0   |
| 65  |True   |  393  |9.487457e-06|9.558760e-06|2.625482e-10|   2   |
| 66  |True   |  357  |9.510397e-06|9.537880e-06|4.048019e-10|   2   |
| 67  |True   |  338  |9.977817e-06|1.015474e-05|5.877729e-10|   0   |
| 69  |True   |  442  |9.254002e-06|9.556811e-06|7.056385e-13|   7   |
| 68  |True   | 1868  |9.126235e-06|9.923661e-06|5.335489e-11|  91   |
| 70  |True   |  959  |9.566083e-06|1.007244e-05|7.496164e-13|  41   |
| 71  |True   |  350  |9.864784e-06|9.875719e-06|2.253691e-10|   1   |
| 72  |True   |  824  |9.734299e-06|1.016992e-05|9.022626e-13|  33   |
| 73  |True   |  512  |9.332818e-06|9.660340e-06|5.116967e-10|  11   |
| 74  |True   |  740  |9.641562e-06|9.665528e-06|3.725268e-10|  28   |
| 75  |True   | 1318  |9.775292e-06|1.164541e-05|7.695682e-11|  55   |
| 76  |True   |  874  |9.169990e-06|9.184489e-06|1.426244e-10|  35   |
| 77  |True   | 1145  |9.501576e-06|1.031314e-05|5.412455e-10|  52   |
| 78  |True   |  625  |9.355857e-06|1.012060e-05|2.744886e-10|  20   |
| 79  |True   |  586  |9.310382e-06|9.542617e-06|3.094935e-10|  14   |
| 80  |True   | 1397  |9.007157e-06|9.179792e-06|1.042339e-10|  57   |
| 82  |True   |  551  |9.450423e-06|9.612646e-06|7.580205e-13|  13   |
| 81  |True   | 1769  |9.995109e-06|1.002727e-05|1.218772e-10|  92   |
| 84  |True   | 1224  |9.654435e-06|1.059007e-05|2.014486e-10|  53   |
| 85  |True   |  296  |9.375728e-06|9.413916e-06|1.954777e-10|   0   |
| 83  |True   | 3029  |9.459815e-06|9.641633e-06|4.242045e-11|  179  |
| 86  |True   |  996  |9.699115e-06|1.002374e-05|4.028402e-10|  37   |
| 87  |True   |  517  |9.114488e-06|9.261214e-06|3.060680e-10|  14   |
| 88  |True   |  327  |9.435955e-06|9.442082e-06|4.520488e-10|   0   |
| 90  |True   |  355  |9.057803e-06|9.349035e-06|6.452309e-10|   2   |
| 89  |True   |  891  |9.303528e-06|9.875643e-06|1.640685e-10|  37   |
| 91  |True   |  535  |9.323693e-06|9.344102e-06|4.159496e-10|  14   |
| 93  |True   |  286  |9.150284e-06|9.412037e-06|2.827605e-10|   0   |
| 92  |True   | 1430  |9.885381e-06|1.069657e-05|7.110225e-10|  70   |
| 94  |True   | 1627  |9.631590e-06|9.781862e-06|5.155180e-11|  87   |
| 95  |True   | 1335  |9.497829e-06|9.512616e-06|1.283883e-10|  70   |
| 96  |True   | 1024  |9.175973e-06|9.466804e-06|3.998752e-10|  42   |
| 97  |True   |  732  |9.910075e-06|1.026699e-05|7.140660e-13|  25   |
| 98  |True   |  361  |9.177780e-06|9.405072e-06|4.226541e-10|   1   |
| 99  |True   |  693  |9.364969e-06|9.783244e-06|9.009119e-10|  24   |
| 100 |True   |  437  |9.139975e-06|9.657942e-06|6.044783e-10|   7   |
| 102 |True   |  478  |9.249132e-06|9.280195e-06|6.086851e-10|   9   |
| 101 |True   | 1129  |9.258340e-06|9.321645e-06|9.458427e-11|  52   |
| 103 |True   |  490  |9.765829e-06|9.838113e-06|6.634107e-10|  11   |
