|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  1  |True   |  516  |9.201765e-06|9.223405e-06|1.597943e-10|  11   |
|  0  |True   |  601  |9.954643e-06|1.025755e-05|1.062232e-12|  16   |
|  3  |True   |  453  |9.972352e-06|1.008540e-05|9.624496e-13|   7   |
|  2  |True   |  818  |9.363777e-06|1.020652e-05|8.373344e-13|  29   |
|  4  |True   |  347  |9.371137e-06|9.431633e-06|1.185555e-10|   2   |
|  5  |True   |  373  |9.318089e-06|9.616342e-06|2.054916e-10|   3   |
|  6  |True   |  562  |9.522893e-06|1.008047e-05|8.223507e-13|  14   |
|  7  |True   |  797  |9.802226e-06|1.018814e-05|5.447872e-10|  30   |
|  8  |True   |  306  |9.115138e-06|9.435915e-06|3.313908e-10|   0   |
|  9  |True   |  411  |9.357298e-06|9.541398e-06|7.224302e-10|   5   |
| 10  |True   |  313  |9.351635e-06|9.506674e-06|4.985655e-10|   0   |
| 11  |True   |  306  |9.664035e-06|9.863212e-06|3.786832e-10|   0   |
| 12  |True   |  303  |9.324623e-06|9.707015e-06|2.788857e-10|   0   |
| 13  |True   |  336  |9.964531e-06|1.001422e-05|2.920826e-10|   1   |
| 15  |True   | 1219  |9.404408e-06|1.012390e-05|9.477109e-10|  56   |
| 14  |True   | 1532  |9.285214e-06|1.112188e-05|1.652907e-10|  76   |
| 17  |True   |  301  |9.409836e-06|9.457657e-06|1.991799e-10|   0   |
| 16  |True   |  310  |9.170455e-06|1.002081e-05|3.821034e-10|   0   |
| 18  |True   |  373  |9.264352e-06|9.528385e-06|3.307914e-10|   3   |
| 19  |True   |  400  |9.698373e-06|1.023081e-05|6.608854e-10|   4   |
| 20  |True   |  303  |9.775657e-06|1.041484e-05|2.025374e-10|   0   |
| 21  |True   |  323  |9.650900e-06|9.706785e-06|1.972023e-10|   0   |
| 22  |True   |  350  |9.649411e-06|9.939707e-06|3.240593e-10|   2   |
| 23  |True   |  321  |9.671830e-06|9.904472e-06|4.004815e-13|   0   |
