|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
| 70  |True   |  360  |9.849824e-06|1.110794e-05|9.087348e-12|3.687156e-10|
| 71  |True   |  349  |9.723326e-06|1.131205e-05|3.373192e-10|2.513208e-05|
| 72  |True   |  352  |9.971949e-06|1.277457e-05|3.011848e-12|4.304350e-10|
| 74  |True   |  341  |9.790020e-06|1.055920e-05|7.091623e-11|2.875855e-05|
| 73  |True   |  359  |9.660302e-06|1.178262e-05|4.048511e-12|1.731475e-09|
| 76  |True   |  339  |9.573605e-06|1.034279e-05|7.536968e-11|3.062755e-05|
| 75  |True   |  336  |9.917564e-06|1.097627e-05|6.251292e-11|2.496457e-05|
| 78  |True   |  339  |9.863655e-06|1.071485e-05|6.171463e-11|2.496356e-05|
| 77  |True   |  414  |9.801870e-06|1.081602e-05|1.120701e-11|1.145640e-08|
| 79  |True   |  340  |9.876701e-06|1.064588e-05|7.228787e-11|2.879694e-05|
| 81  |True   |  376  |9.947874e-06|1.114858e-05|4.104638e-12|3.183534e-09|
| 83  |True   |  333  |9.969338e-06|1.115356e-05|6.393126e-11|2.485913e-05|
| 82  |True   |  366  |9.753080e-06|1.175275e-05|3.806884e-12|1.147856e-08|
| 80  |True   |  449  |9.749562e-06|1.051874e-05|7.119111e-11|2.884431e-05|
| 84  |True   |  347  |9.666384e-06|1.043558e-05|5.416009e-11|2.180777e-05|
| 86  |True   |  338  |9.990859e-06|1.076002e-05|8.488936e-11|3.218333e-05|
| 89  |True   |  336  |9.772950e-06|1.082532e-05|5.162200e-11|2.037583e-05|
| 85  |True   |  335  |9.764666e-06|1.055794e-05|4.932085e-11|1.818016e-05|
| 87  |True   |  333  |9.866861e-06|1.136269e-05|7.244909e-11|2.877176e-05|
| 90  |True   |  337  |9.827753e-06|1.059694e-05|6.183271e-11|2.496497e-05|
| 88  |True   |  345  |9.604137e-06|1.037331e-05|8.491564e-11|3.333380e-05|
| 91  |True   |  336  |9.784342e-06|1.055355e-05|5.040145e-11|2.036368e-05|
| 92  |True   |  334  |9.929905e-06|1.118323e-05|5.302909e-11|2.037859e-05|
| 93  |True   |  345  |9.711428e-06|1.048063e-05|4.926239e-11|2.038242e-05|
| 94  |True   |  335  |9.853118e-06|1.062229e-05|7.302620e-11|2.879974e-05|
| 97  |True   |  358  |9.623058e-06|1.114639e-05|2.520823e-12|1.447619e-10|
| 98  |True   |  371  |9.903624e-06|1.102147e-05|9.915092e-12|8.323870e-10|
| 101 |True   |  365  |9.674099e-06|1.065343e-05|3.677361e-12|1.894763e-10|
| 102 |True   |  376  |9.920238e-06|1.088289e-05|7.361324e-12|5.914219e-10|
| 100 |True   |  340  |9.686611e-06|1.045578e-05|8.012747e-11|3.218735e-05|
| 95  |True   |  337  |9.947986e-06|1.071717e-05|7.986623e-11|2.979038e-05|
| 96  |True   |  356  |9.714196e-06|1.152995e-05|3.482043e-12|3.068356e-09|
| 99  |True   |  358  |9.631669e-06|1.116526e-05|9.959063e-12|8.704197e-10|
| 103 |True   |  352  |9.688106e-06|1.215097e-05|1.031852e-11|5.137096e-10|
| 104 |True   |  335  |9.880094e-06|1.110782e-05|5.272019e-11|2.035930e-05|
| 106 |True   |  361  |9.650202e-06|1.055821e-05|8.206731e-12|3.651865e-10|
| 107 |True   |  335  |9.904958e-06|1.076785e-05|4.545080e-11|1.443530e-05|
| 108 |True   |  327  |9.866813e-06|1.406434e-05|7.316482e-11|2.874397e-05|
| 105 |True   |  333  |9.750584e-06|1.127865e-05|5.993752e-11|2.472418e-05|
| 111 |True   |  388  |9.746591e-06|1.067244e-05|6.576534e-12|2.161112e-09|
| 112 |True   |  365  |9.681455e-06|1.069985e-05|8.435426e-12|1.220714e-09|
| 109 |True   |  342  |9.615445e-06|1.038466e-05|5.809576e-11|2.494234e-05|
| 114 |True   |  372  |9.854806e-06|1.141156e-05|8.541528e-10|1.433316e-05|
| 110 |True   |  356  |9.915829e-06|1.149145e-05|2.687271e-11|1.603237e-08|
| 115 |True   |  358  |9.761054e-06|1.133238e-05|3.055945e-12|1.533584e-10|
| 113 |True   |  341  |9.913153e-06|1.068234e-05|6.282257e-11|2.495075e-05|
| 117 |True   |  365  |9.961515e-06|1.114212e-05|6.510221e-12|4.113271e-10|
| 119 |True   |  372  |9.790485e-06|1.115315e-05|4.595068e-10|2.727355e-05|
| 120 |True   |  336  |9.971025e-06|1.090066e-05|5.453655e-11|2.034295e-05|
| 116 |True   |  355  |9.614078e-06|1.137698e-05|4.715652e-10|1.442093e-05|
| 121 |True   |  334  |9.963436e-06|1.076610e-05|8.444309e-11|3.219280e-05|
| 122 |True   |  365  |9.639954e-06|1.052723e-05|5.451444e-12|5.293939e-10|
| 118 |True   |  346  |9.890428e-06|1.065963e-05|5.227372e-11|2.039311e-05|
| 124 |True   |  359  |9.633273e-06|1.102650e-05|8.948694e-12|3.499616e-09|
| 123 |True   |  331  |9.740415e-06|1.230989e-05|5.056566e-11|2.038295e-05|
| 125 |True   |  336  |9.649694e-06|1.041888e-05|5.928678e-11|2.494394e-05|
| 127 |True   |  344  |9.696535e-06|1.046574e-05|4.929704e-11|2.038831e-05|
| 126 |True   |  333  |9.718776e-06|1.072699e-05|8.512570e-11|3.293093e-05|
| 130 |True   |  363  |9.638487e-06|1.066590e-05|1.026189e-11|4.090829e-10|
| 129 |True   |  342  |9.793416e-06|1.056260e-05|7.103077e-11|2.878091e-05|
| 128 |True   |  336  |9.844411e-06|1.061362e-05|5.701576e-11|2.115202e-05|
| 131 |True   |  332  |9.797582e-06|1.161932e-05|7.072340e-11|2.884772e-05|
| 132 |True   |  329  |9.537995e-06|1.230533e-05|8.245640e-11|3.287924e-05|
| 134 |True   |  333  |9.567965e-06|1.048870e-05|6.986063e-11|2.904531e-05|
| 133 |True   |  333  |9.769034e-06|1.175304e-05|7.112200e-11|2.881090e-05|
| 137 |True   |  354  |9.823726e-06|1.106581e-05|1.126628e-11|4.522164e-10|
| 136 |True   |  338  |9.876026e-06|1.081282e-05|7.274317e-11|2.881257e-05|
| 138 |True   |  345  |9.931853e-06|1.070103e-05|7.338334e-11|2.882337e-05|
| 135 |True   |  564  |9.959912e-06|1.072913e-05|5.355011e-11|2.036288e-05|
| 139 |True   |  467  |9.724376e-06|1.049360e-05|4.971694e-11|2.038704e-05|
| 141 |True   |  354  |9.560424e-06|1.210753e-05|7.083667e-12|3.239150e-10|
| 143 |True   |  339  |9.923725e-06|1.084686e-05|4.546701e-11|1.442225e-05|
| 145 |True   |  347  |9.783138e-06|1.055233e-05|6.142113e-11|2.493311e-05|
| 142 |True   |  372  |9.806137e-06|1.083397e-05|4.973010e-12|3.785042e-10|
| 144 |True   |  347  |9.728461e-06|1.049766e-05|4.487641e-11|1.548959e-05|
| 148 |True   |  354  |9.932635e-06|1.070183e-05|5.345247e-11|2.038182e-05|
| 149 |True   |  663  |9.687608e-06|1.045680e-05|5.909034e-11|2.493435e-05|
| 151 |True   |  352  |9.806611e-06|1.295927e-05|1.143305e-11|7.491481e-10|
| 152 |True   |  331  |9.395179e-06|1.093153e-05|6.778622e-11|3.217215e-05|
| 140 |True   | 1023  |9.904228e-06|1.092714e-05|9.939669e-10|1.426783e-05|
| 153 |True   |  364  |9.812718e-06|1.076291e-05|6.993740e-12|1.068660e-09|
| 154 |True   |  358  |9.901151e-06|1.104000e-05|8.431565e-12|1.166393e-09|
| 146 |True   | 1164  |9.684649e-06|1.149347e-05|6.943270e-11|2.872390e-05|
| 147 |True   | 1117  |9.878571e-06|1.077281e-05|7.569941e-10|1.442070e-05|
| 159 |True   |  362  |9.905228e-06|1.098223e-05|7.685872e-12|3.012231e-10|
| 156 |True   |  334  |9.868096e-06|1.063726e-05|9.354608e-11|3.522364e-05|
| 155 |True   |  332  |9.939370e-06|1.162300e-05|6.368656e-11|2.494277e-05|
| 160 |True   |  368  |9.937875e-06|1.098610e-05|7.787748e-12|6.256009e-10|
| 158 |True   |  334  |9.626431e-06|1.039563e-05|6.765637e-11|2.852101e-05|
| 161 |True   |  356  |9.481872e-06|1.238699e-05|2.317714e-12|8.893136e-10|
| 150 |True   | 1113  |9.609081e-06|1.122539e-05|1.593450e-10|1.441836e-05|
| 157 |True   |  871  |9.636911e-06|1.040610e-05|6.723815e-11|2.770888e-05|
| 162 |True   |  330  |9.697269e-06|1.217343e-05|6.992802e-11|2.878248e-05|
| 164 |True   |  362  |9.855052e-06|1.098869e-05|9.340582e-10|1.441905e-05|
| 163 |True   |  358  |9.972127e-06|1.112880e-05|2.730914e-12|5.243730e-09|
| 167 |True   |  335  |9.717396e-06|1.048661e-05|5.916700e-11|2.486635e-05|
| 165 |True   |  343  |9.941526e-06|1.071067e-05|1.115454e-10|3.879321e-05|
| 168 |True   |  340  |9.686571e-06|1.045576e-05|7.029164e-11|2.883786e-05|
| 166 |True   |  350  |9.492996e-06|1.351109e-05|1.624103e-11|9.081537e-10|
| 170 |True   |  339  |9.674462e-06|1.044365e-05|6.932029e-11|2.872394e-05|
| 171 |True   |  356  |9.762099e-06|1.160278e-05|3.594598e-12|2.959074e-09|
| 173 |True   |  338  |9.512558e-06|1.028174e-05|7.253993e-11|2.958191e-05|
| 172 |True   |  336  |9.774604e-06|1.105007e-05|5.108786e-11|2.038781e-05|
| 169 |True   |  364  |9.715775e-06|1.058915e-05|6.782177e-12|1.764199e-09|
| 175 |True   |  343  |9.572489e-06|1.034167e-05|6.754172e-11|2.881545e-05|
| 174 |True   |  352  |9.597881e-06|1.218680e-05|1.769131e-11|1.483159e-09|
| 178 |True   |  361  |9.748612e-06|1.109321e-05|3.267635e-12|3.296556e-10|
| 177 |True   |  364  |9.703350e-06|1.092680e-05|5.677839e-12|2.135464e-10|
| 180 |True   |  350  |9.519504e-06|1.359396e-05|1.393417e-11|1.883957e-09|
| 176 |True   |  336  |9.936064e-06|1.070526e-05|5.722601e-11|2.095372e-05|
| 179 |True   |  379  |9.738660e-06|1.061577e-05|3.495990e-12|1.098503e-09|
| 181 |True   |  360  |9.975088e-06|1.116842e-05|6.376888e-12|2.022304e-10|
| 182 |True   |  354  |9.862905e-06|1.276471e-05|9.043151e-12|9.206280e-10|
| 184 |True   |  341  |9.927662e-06|1.069682e-05|8.399478e-11|3.221448e-05|
| 183 |True   |  356  |9.785126e-06|1.146552e-05|5.427146e-12|1.574905e-10|
| 187 |True   |  352  |9.830069e-06|1.194503e-05|1.001170e-11|1.820615e-09|
| 185 |True   |  347  |9.960290e-06|1.072948e-05|6.454313e-11|2.497178e-05|
| 189 |True   |  348  |9.573021e-06|1.371775e-05|8.806927e-12|1.277003e-09|
| 186 |True   |  343  |9.690441e-06|1.045963e-05|6.970327e-11|2.876508e-05|
| 191 |True   |  334  |9.860917e-06|1.095206e-05|7.236320e-11|2.872621e-05|
| 188 |True   |  333  |9.888665e-06|1.112036e-05|7.323439e-11|2.880098e-05|
| 192 |True   |  335  |9.980467e-06|1.074966e-05|7.400932e-11|2.883539e-05|
| 193 |True   |  352  |9.687115e-06|1.159312e-05|4.629886e-12|2.457740e-10|
| 190 |True   |  684  |9.783987e-06|1.228313e-05|3.005333e-12|2.809869e-10|
| 196 |True   |  335  |9.949134e-06|1.071834e-05|6.325422e-11|2.495972e-05|
| 195 |True   |  344  |9.967470e-06|1.073668e-05|4.634446e-11|1.442188e-05|
| 197 |True   |  356  |9.921779e-06|1.077885e-05|4.667634e-12|3.312705e-09|
| 199 |True   |  336  |9.620199e-06|1.053713e-05|6.817834e-11|2.881031e-05|
| 194 |True   |  354  |9.834686e-06|1.175866e-05|8.284274e-12|6.617651e-10|
| 202 |True   |  381  |9.733164e-06|1.060259e-05|3.100373e-12|1.644745e-09|
| 203 |True   |  364  |9.885608e-06|1.144031e-05|6.519657e-12|2.094319e-10|
| 198 |True   |  342  |9.913837e-06|1.068302e-05|6.281727e-11|2.493335e-05|
| 206 |True   |  360  |9.738484e-06|1.117460e-05|2.385332e-12|3.355652e-10|
| 205 |True   |  332  |9.512024e-06|1.163422e-05|6.785892e-11|2.979132e-05|
| 207 |True   |  359  |9.987316e-06|1.162500e-05|2.966277e-12|2.363950e-10|
| 200 |True   |  370  |9.813227e-06|1.119434e-05|4.556404e-12|8.040335e-09|
| 201 |True   |  343  |9.760917e-06|1.053012e-05|5.201569e-11|2.053161e-05|
| 204 |True   |  335  |9.772313e-06|1.054149e-05|7.131915e-11|2.878829e-05|
| 210 |True   |  352  |9.552632e-06|1.233514e-05|1.364804e-11|1.148273e-09|
| 209 |True   |  338  |9.739330e-06|1.050854e-05|5.045807e-11|2.036148e-05|
| 208 |True   |  334  |9.617541e-06|1.038671e-05|7.716517e-11|3.017469e-05|
| 212 |True   |  367  |9.714728e-06|1.103371e-05|5.283071e-12|3.076880e-10|
| 217 |True   |  345  |9.660798e-06|1.042998e-05|7.298708e-11|2.935748e-05|
| 214 |True   |  334  |9.493699e-06|1.069070e-05|6.814277e-11|2.894334e-05|
| 216 |True   |  349  |9.957301e-06|1.072651e-05|4.616232e-11|1.442352e-05|
| 211 |True   |  414  |9.917274e-06|1.089012e-05|1.285492e-11|4.776383e-09|
| 218 |True   |  362  |9.519220e-06|1.084355e-05|5.023394e-12|8.063454e-10|
| 215 |True   |  332  |9.792754e-06|1.180966e-05|5.645011e-11|2.207077e-05|
| 219 |True   |  335  |9.660290e-06|1.063679e-05|5.845075e-11|2.496439e-05|
| 221 |True   |  335  |9.989312e-06|1.085008e-05|7.436455e-11|2.879876e-05|
| 222 |True   |  337  |9.835037e-06|1.068955e-05|6.122608e-11|2.493250e-05|
| 223 |True   |  336  |9.764121e-06|1.070497e-05|6.007044e-11|2.495931e-05|
| 213 |True   |  651  |9.803100e-06|1.101189e-05|6.728981e-12|1.305058e-09|
| 226 |True   |  354  |9.867999e-06|1.242911e-05|1.138055e-11|3.857645e-10|
| 220 |True   |  340  |9.800076e-06|1.056924e-05|8.182967e-11|3.220181e-05|
| 224 |True   |  331  |9.817480e-06|1.200000e-05|7.130892e-11|2.882150e-05|
| 227 |True   |  380  |9.555562e-06|1.044113e-05|6.966460e-12|4.514295e-09|
| 230 |True   |  337  |9.944633e-06|1.071385e-05|6.095267e-11|2.240637e-05|
| 231 |True   |  343  |9.956521e-06|1.072570e-05|7.447681e-11|2.883058e-05|
| 228 |True   |  358  |9.840187e-06|1.086518e-05|7.990935e-12|5.682255e-10|
| 232 |True   |  335  |9.748772e-06|1.125807e-05|7.980573e-11|3.130886e-05|
| 229 |True   |  356  |9.914088e-06|1.131232e-05|7.160525e-12|1.026831e-09|
| 233 |True   |  352  |9.702581e-06|1.386661e-05|7.627274e-12|2.282734e-09|
| 225 |True   | 1322  |9.793195e-06|1.110127e-05|3.263566e-10|3.137541e-04|
| 236 |True   |  335  |9.850536e-06|1.086253e-05|6.176547e-11|2.491626e-05|
| 237 |True   |  349  |9.838461e-06|1.060770e-05|6.168608e-11|2.494797e-05|
| 238 |True   |  354  |9.430283e-06|1.170207e-05|6.277846e-12|4.747011e-10|
| 240 |True   |  358  |9.664235e-06|1.069333e-05|7.470498e-12|1.109308e-09|
| 242 |True   |  334  |9.798773e-06|1.073788e-05|6.238747e-11|2.527604e-05|
| 234 |True   |  454  |9.583654e-06|1.035284e-05|6.322523e-11|2.634245e-05|
| 235 |True   |  335  |9.611474e-06|1.043245e-05|7.863747e-11|3.210057e-05|
| 244 |True   |  343  |9.803291e-06|1.057249e-05|6.091308e-11|2.490362e-05|
| 243 |True   |  389  |9.602470e-06|1.111464e-05|8.396743e-10|2.570578e-05|
| 245 |True   |  362  |9.848255e-06|1.087645e-05|5.011197e-12|1.252405e-10|
| 239 |True   |  368  |9.793364e-06|1.108933e-05|2.352348e-12|1.125237e-10|
| 241 |True   |  337  |9.831257e-06|1.060046e-05|5.652880e-11|2.120338e-05|
| 246 |True   |  356  |9.846519e-06|1.123455e-05|3.436671e-12|6.903261e-10|
| 247 |True   |  372  |9.787889e-06|1.096741e-05|5.035574e-10|3.564143e-06|
| 248 |True   |  363  |9.567411e-06|1.098545e-05|1.347830e-11|7.257168e-10|
| 252 |True   |  358  |9.838576e-06|1.100722e-05|1.357710e-11|3.937058e-10|
| 253 |True   |  342  |9.744837e-06|1.051400e-05|8.088791e-11|3.217521e-05|
| 251 |True   |  368  |9.809986e-06|1.105506e-05|1.624975e-11|1.899553e-09|
| 256 |True   |  329  |9.918609e-06|1.249617e-05|7.192958e-11|2.840347e-05|
| 250 |True   |  335  |9.688658e-06|1.045787e-05|5.017610e-11|2.039152e-05|
