|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  0  |True   |  355  |9.973261e-06|1.087233e-05|6.268886e-11|6.108534e-05|
|  2  |True   |  382  |9.735317e-06|1.011981e-05|1.345952e-10|7.701017e-05|
|  7  |True   |  351  |9.784042e-06|1.051241e-05|6.391379e-11|4.772145e-05|
|  1  |True   |  396  |9.827084e-06|1.021155e-05|1.731935e-10|9.422922e-05|
|  6  |True   |  368  |9.945778e-06|1.046926e-05|8.135298e-11|5.213302e-05|
|  3  |True   |  349  |9.796486e-06|1.053700e-05|5.210943e-11|3.789307e-05|
|  5  |True   |  379  |9.808578e-06|1.019314e-05|6.237364e-11|3.851448e-05|
| 11  |True   |  375  |9.933879e-06|1.031843e-05|9.032335e-11|5.095849e-05|
|  8  |True   |  388  |9.940499e-06|1.032506e-05|6.216684e-11|3.518744e-05|
|  9  |True   |  372  |9.917465e-06|1.056220e-05|9.895089e-11|6.558328e-05|
| 10  |True   |  388  |9.932007e-06|1.035678e-05|6.796168e-11|3.978416e-05|
| 12  |True   |  375  |9.874960e-06|1.025948e-05|1.134057e-10|6.391802e-05|
|  4  |True   |  682  |9.975360e-06|1.069991e-05|3.105650e-11|1.975394e-05|
| 16  |True   |  348  |9.865462e-06|1.115330e-05|3.950810e-11|2.900214e-05|
| 13  |True   |  357  |9.831508e-06|1.041427e-05|6.594443e-11|4.756187e-05|
| 17  |True   |  347  |9.907328e-06|1.103439e-05|7.693590e-11|5.096496e-05|
| 19  |True   |  370  |9.862084e-06|1.070990e-05|8.465546e-11|5.006056e-05|
| 24  |True   |  354  |9.926624e-06|1.054738e-05|8.635855e-11|6.063384e-05|
| 21  |True   |  373  |9.858941e-06|1.024349e-05|7.267550e-11|4.187842e-05|
| 22  |True   |  368  |9.944058e-06|1.060855e-05|1.414934e-10|9.754288e-05|
| 15  |True   |  480  |9.871729e-06|1.028240e-05|8.026222e-11|4.970299e-05|
| 25  |True   |  367  |9.770460e-06|1.015500e-05|9.003215e-11|5.286190e-05|
| 14  |True   |  893  |9.941925e-06|1.041876e-05|3.991874e-11|1.915405e-05|
| 26  |True   |  347  |9.712893e-06|1.029392e-05|1.011465e-10|7.672347e-05|
| 27  |True   |  354  |9.767755e-06|1.083439e-05|8.408823e-11|5.631836e-05|
| 28  |True   |  391  |9.850394e-06|1.023496e-05|6.863570e-11|4.081382e-05|
| 29  |True   |  362  |9.906549e-06|1.029123e-05|7.169708e-11|4.129303e-05|
| 30  |True   |  371  |9.777195e-06|1.030417e-05|9.324340e-11|6.611176e-05|
| 23  |True   | 1022  |9.906435e-06|1.029103e-05|3.273127e-11|1.761404e-05|
| 32  |True   |  357  |9.842741e-06|1.034774e-05|6.789373e-11|4.798809e-05|
| 31  |True   |  357  |9.912246e-06|1.047854e-05|6.771347e-11|4.819650e-05|
| 18  |True   | 1025  |9.893857e-06|1.027846e-05|3.225907e-11|1.757217e-05|
| 33  |True   |  370  |9.914715e-06|1.035582e-05|4.465539e-11|2.792553e-05|
| 20  |True   | 1196  |9.845221e-06|1.040974e-05|7.175573e-10|3.966375e-06|
| 34  |True   |  385  |9.914024e-06|1.029858e-05|6.660522e-11|3.915407e-05|
| 35  |True   |  380  |9.733542e-06|1.020520e-05|1.048489e-10|6.209697e-05|
| 36  |True   |  384  |9.900161e-06|1.073561e-05|8.642525e-11|5.024013e-05|
| 37  |True   |  355  |9.820347e-06|1.048406e-05|1.331311e-10|9.554633e-05|
| 39  |True   |  345  |9.651058e-06|1.048203e-05|6.905195e-11|6.118987e-05|
| 38  |True   |  357  |9.942696e-06|1.067397e-05|5.798937e-11|4.730357e-05|
| 41  |True   |  348  |9.836774e-06|1.072141e-05|1.032052e-10|6.853400e-05|
| 43  |True   |  353  |9.911891e-06|1.062592e-05|6.523196e-11|4.881585e-05|
| 42  |True   |  385  |9.804554e-06|1.018912e-05|6.323590e-11|3.878798e-05|
| 45  |True   |  387  |9.890333e-06|1.027474e-05|2.142951e-10|1.127736e-04|
| 40  |True   |  462  |9.795082e-06|1.033754e-05|5.100177e-11|3.913132e-05|
| 44  |True   |  372  |9.757121e-06|1.031241e-05|7.770587e-11|5.712743e-05|
| 46  |True   |  372  |9.941155e-06|1.064915e-05|7.855854e-11|5.522187e-05|
| 47  |True   |  407  |9.959500e-06|1.034403e-05|9.637181e-11|5.360839e-05|
| 49  |True   |  353  |9.813780e-06|1.019850e-05|1.422718e-10|7.825085e-05|
| 48  |True   |  374  |9.905807e-06|1.049669e-05|7.922381e-11|5.860174e-05|
| 51  |True   |  357  |9.933071e-06|1.054517e-05|6.794944e-11|4.673007e-05|
| 52  |True   |  385  |9.906414e-06|1.029096e-05|8.889667e-11|5.085972e-05|
| 53  |True   |  387  |9.945457e-06|1.033092e-05|2.233295e-10|1.157179e-04|
| 55  |True   |  369  |9.800882e-06|1.057246e-05|4.685242e-11|3.676748e-05|
| 54  |True   |  389  |9.787102e-06|1.017164e-05|8.383115e-11|5.036112e-05|
| 50  |True   |  605  |9.859625e-06|1.024418e-05|6.518689e-11|3.921813e-05|
| 58  |True   |  353  |9.793843e-06|1.032191e-05|4.142906e-11|3.278520e-05|
| 56  |True   |  386  |9.809156e-06|1.019365e-05|1.285796e-10|7.135357e-05|
| 57  |True   |  346  |9.781811e-06|1.066774e-05|7.603402e-11|5.922535e-05|
| 59  |True   |  395  |9.766370e-06|1.018814e-05|9.839341e-11|5.706593e-05|
| 60  |True   |  357  |9.866115e-06|1.042300e-05|6.517503e-11|4.788063e-05|
