|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
| 75  |True   |  339  |9.025396e-06|1.664281e-05|8.324226e-10|1.077479e-04|
| 68  |True   |  365  |9.898977e-06|1.239845e-05|7.235025e-10|7.630720e-05|
| 74  |True   |  338  |9.405060e-06|1.586589e-05|5.334207e-10|5.064001e-05|
| 73  |True   |  378  |9.952723e-06|1.245219e-05|7.302084e-10|7.664050e-05|
| 70  |True   |  410  |9.795278e-06|1.229475e-05|7.106011e-10|7.566528e-05|
| 76  |True   |  359  |9.735253e-06|1.223477e-05|7.030846e-10|7.528704e-05|
| 77  |True   |  391  |9.455892e-06|1.195542e-05|6.686315e-10|7.355030e-05|
| 78  |True   |  340  |9.159278e-06|1.673486e-05|6.251231e-10|7.698289e-05|
| 65  |True   |  798  |9.649901e-06|1.214940e-05|6.947619e-10|7.505240e-05|
| 81  |True   |  343  |9.535489e-06|1.497853e-05|9.497671e-10|1.166142e-04|
| 84  |True   |  329  |9.541159e-06|2.418015e-05|4.322154e-10|4.390155e-05|
| 82  |True   |  348  |9.405441e-06|1.213261e-05|3.421819e-13|4.288850e-08|
| 80  |True   |  320  |9.168377e-06|1.668034e-05|6.142927e-11|1.766430e-05|
| 83  |True   |  325  |9.199544e-06|3.131638e-05|6.244370e-10|7.848702e-05|
| 86  |True   |  275  |9.012772e-06|1.329638e-05|7.908542e-10|3.329405e-08|
| 85  |True   |  334  |9.347363e-06|1.213261e-05|3.407889e-13|4.205727e-08|
| 87  |True   |  373  |9.506945e-06|1.200645e-05|6.749245e-10|7.387100e-05|
| 88  |True   |  323  |9.416132e-06|3.479598e-05|6.217758e-10|7.691315e-05|
| 89  |True   |  369  |9.100734e-06|1.160075e-05|3.369915e-13|4.282482e-08|
| 90  |True   |  291  |9.333479e-06|1.458305e-05|3.435748e-11|2.932391e-09|
| 91  |True   |  308  |9.416104e-06|5.303456e-05|2.979455e-10|3.126678e-05|
| 93  |True   |  311  |9.066362e-06|3.479598e-05|1.825545e-10|3.186687e-05|
| 95  |True   |  323  |9.024314e-06|1.397242e-05|9.856235e-11|3.149457e-05|
| 94  |True   |  324  |9.012722e-06|1.348067e-05|1.735673e-10|3.398629e-05|
| 98  |True   |  310  |9.004227e-06|2.818474e-05|1.129814e-10|2.967343e-05|
| 79  |True   |  808  |9.557079e-06|1.205658e-05|6.804732e-10|7.410902e-05|
| 92  |True   |  370  |9.906125e-06|1.240617e-05|3.958202e-13|4.868741e-08|
| 96  |True   |  343  |9.978666e-06|1.264055e-05|4.522248e-10|5.444950e-05|
