|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  1  |True   |  356  |9.217155e-06|1.125615e-05|1.255470e-11|4.914089e-10|
|  2  |True   |  346  |9.660179e-06|1.179455e-05|1.630984e-11|9.396350e-10|
|  4  |True   |  394  |9.996153e-06|1.155953e-05|4.059619e-12|1.663361e-08|
|  3  |True   |  324  |9.470050e-06|1.653866e-05|8.751034e-11|1.721921e-05|
|  6  |True   |  357  |9.477707e-06|1.200642e-05|9.316698e-10|1.432616e-05|
|  9  |True   |  338  |9.542200e-06|1.097071e-05|9.296955e-11|2.036045e-05|
|  7  |True   |  337  |9.732501e-06|1.116104e-05|9.585604e-11|2.027855e-05|
|  0  |True   |  339  |9.680276e-06|1.110879e-05|9.682761e-11|2.034664e-05|
|  5  |True   |  340  |9.836818e-06|1.126536e-05|9.740349e-11|2.029803e-05|
|  8  |True   |  332  |9.884157e-06|1.131266e-05|1.338377e-10|2.796481e-05|
| 10  |True   |  331  |9.288129e-06|1.104844e-05|1.261802e-10|2.866653e-05|
| 12  |True   |  337  |9.370885e-06|1.221064e-05|1.100128e-10|2.037014e-05|
| 15  |True   |  348  |9.948740e-06|1.527408e-05|3.377187e-12|2.725818e-10|
| 11  |True   |  360  |9.823935e-06|1.151233e-05|8.896154e-12|7.283615e-10|
| 17  |True   |  324  |9.998759e-06|1.572328e-05|1.375032e-10|2.869859e-05|
| 13  |True   |  356  |9.865784e-06|1.332847e-05|2.267136e-12|9.092750e-11|
| 16  |True   |  344  |9.519347e-06|1.094785e-05|1.037205e-10|2.224256e-05|
| 14  |True   |  340  |9.622748e-06|1.105126e-05|9.709959e-11|2.038046e-05|
| 18  |True   |  340  |9.558254e-06|1.098676e-05|9.818470e-11|2.072100e-05|
| 19  |True   |  333  |9.864446e-06|1.129297e-05|9.935686e-11|2.030211e-05|
| 20  |True   |  336  |9.874261e-06|1.130279e-05|8.582448e-11|1.445063e-05|
| 22  |True   |  347  |9.709807e-06|1.113834e-05|8.139715e-11|1.442032e-05|
| 23  |True   |  353  |9.923059e-06|1.175677e-05|1.966510e-11|3.236052e-10|
| 21  |True   |  354  |9.865650e-06|1.129420e-05|9.832775e-11|2.032441e-05|
| 25  |True   |  323  |9.952830e-06|1.471821e-05|1.168491e-10|2.401774e-05|
| 26  |True   |  344  |9.797044e-06|1.611742e-05|2.130586e-11|4.398214e-09|
| 24  |True   |  339  |9.853415e-06|1.128193e-05|1.161822e-10|2.487510e-05|
| 27  |True   |  326  |9.833682e-06|1.563512e-05|8.380663e-11|1.441863e-05|
| 28  |True   |  338  |9.559974e-06|1.098847e-05|1.122819e-10|2.493351e-05|
| 29  |True   |  350  |9.443768e-06|1.427539e-05|1.308938e-11|5.380510e-10|
| 31  |True   |  348  |9.317147e-06|1.408496e-05|1.562035e-11|3.522790e-10|
| 30  |True   |  361  |9.311335e-06|1.509330e-05|1.195999e-11|2.658674e-09|
| 33  |True   |  353  |9.659638e-06|1.187726e-05|2.491506e-10|3.117051e-07|
| 34  |True   |  338  |9.662154e-06|1.109067e-05|9.088166e-11|1.699954e-05|
| 32  |True   |  343  |9.660562e-06|1.254255e-05|1.925040e-10|1.435939e-05|
| 35  |True   |  322  |9.748531e-06|1.202830e-05|8.146151e-11|1.426987e-05|
| 36  |True   |  342  |9.842721e-06|1.839072e-05|7.987921e-12|2.542441e-10|
| 37  |True   |  338  |9.839601e-06|1.126811e-05|1.016224e-10|2.037689e-05|
| 40  |True   |  346  |8.784040e-06|1.663563e-05|1.988829e-11|3.547064e-10|
| 39  |True   |  330  |9.557798e-06|1.225993e-05|1.119269e-10|2.490385e-05|
| 41  |True   |  360  |9.357359e-06|1.123564e-05|1.119847e-11|1.075945e-09|
| 38  |True   |  352  |9.621657e-06|1.149961e-05|1.676908e-11|4.244269e-10|
| 43  |True   |  344  |9.956363e-06|1.760865e-05|3.569227e-12|3.997940e-10|
| 44  |True   |  331  |9.858261e-06|1.243537e-05|8.844562e-11|1.490446e-05|
| 46  |True   |  332  |9.792434e-06|1.122231e-05|1.050105e-10|1.953186e-05|
