|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  2  |True   |  357  |9.772178e-06|1.126973e-05|1.311128e-10|4.157552e-05|
|  3  |True   |  362  |9.941015e-06|1.095651e-05|2.120068e-10|6.748412e-05|
|  0  |True   |  379  |9.663378e-06|1.043239e-05|2.495001e-10|8.312208e-05|
|  1  |True   |  376  |9.952615e-06|1.072152e-05|3.549625e-10|1.137934e-04|
|  5  |True   |  346  |9.723578e-06|1.074841e-05|1.342124e-10|5.700862e-05|
|  6  |True   |  349  |9.994570e-06|1.146777e-05|2.900189e-10|9.284983e-05|
|  4  |True   |  353  |9.810355e-06|1.082291e-05|2.846852e-10|1.048354e-04|
|  8  |True   |  362  |9.887007e-06|1.065597e-05|3.065050e-10|9.924299e-05|
|  7  |True   |  377  |9.973334e-06|1.074236e-05|2.392176e-10|7.469976e-05|
| 10  |True   |  376  |9.744093e-06|1.051314e-05|2.060497e-10|6.853633e-05|
|  9  |True   |  384  |9.916259e-06|1.216626e-05|2.705784e-10|9.020920e-05|
| 12  |True   |  361  |9.667579e-06|1.091904e-05|1.641133e-10|6.594144e-05|
| 11  |True   |  375  |9.658535e-06|1.042754e-05|2.749540e-10|9.262504e-05|
| 14  |True   |  345  |9.619958e-06|1.253805e-05|2.656966e-10|9.046737e-05|
| 16  |True   |  347  |9.785352e-06|1.084469e-05|1.926184e-10|7.911082e-05|
| 15  |True   |  350  |9.777376e-06|1.092016e-05|1.026197e-10|3.957428e-05|
| 17  |True   |  347  |9.645725e-06|1.145808e-05|3.296948e-10|1.385842e-04|
| 13  |True   |  391  |9.918502e-06|1.068754e-05|2.194702e-10|7.179631e-05|
| 19  |True   |  382  |9.907874e-06|1.067684e-05|2.954860e-10|9.610703e-05|
| 18  |True   |  398  |9.974063e-06|1.078177e-05|9.816157e-11|2.591766e-05|
| 20  |True   |  347  |9.651223e-06|1.107084e-05|1.361637e-10|6.068749e-05|
| 21  |True   |  367  |9.751497e-06|1.132990e-05|1.479633e-10|4.723900e-05|
| 22  |True   |  367  |9.684089e-06|1.045316e-05|1.957550e-10|6.436736e-05|
| 24  |True   |  372  |9.890000e-06|1.110532e-05|1.488167e-10|4.539029e-05|
| 23  |True   |  388  |9.748639e-06|1.051769e-05|2.020420e-10|6.725030e-05|
| 25  |True   |  381  |9.722938e-06|1.091075e-05|1.936065e-10|6.370334e-05|
| 28  |True   |  352  |9.543263e-06|1.031218e-05|3.675580e-10|1.260878e-04|
| 26  |True   |  377  |9.897927e-06|1.130425e-05|1.663019e-10|6.563210e-05|
| 31  |True   |  345  |9.903575e-06|1.180896e-05|2.099445e-10|9.666138e-05|
| 30  |True   |  367  |9.760340e-06|1.053890e-05|2.089101e-10|6.837392e-05|
| 32  |True   |  344  |9.898919e-06|1.190052e-05|1.410326e-10|6.336964e-05|
| 27  |True   |  392  |9.833235e-06|1.060228e-05|2.087360e-10|6.755478e-05|
| 34  |True   |  392  |9.983282e-06|1.075245e-05|9.900420e-11|2.607051e-05|
| 29  |True   |  473  |9.748997e-06|1.107488e-05|1.808488e-10|8.087206e-05|
| 35  |True   |  386  |9.948931e-06|1.071797e-05|2.151730e-10|6.728564e-05|
| 36  |True   |  362  |9.769064e-06|1.060484e-05|2.033181e-10|6.602243e-05|
| 37  |True   |  365  |9.959801e-06|1.087999e-05|1.318592e-10|4.388362e-05|
| 33  |True   |  568  |9.722832e-06|1.049173e-05|3.731310e-10|1.227352e-04|
| 38  |True   |  357  |9.971356e-06|1.079929e-05|2.581278e-10|9.015090e-05|
| 39  |True   |  344  |9.871312e-06|1.119898e-05|9.063391e-11|3.993296e-05|
| 43  |True   |  338  |9.950327e-06|1.383264e-05|1.120719e-10|5.136239e-05|
| 40  |True   |  358  |9.681442e-06|1.141324e-05|7.316943e-11|3.535083e-05|
| 44  |True   |  345  |9.883056e-06|1.149803e-05|1.563722e-10|6.283895e-05|
| 42  |True   |  378  |9.570626e-06|1.059906e-05|1.554668e-10|6.191962e-05|
| 46  |True   |  353  |9.638137e-06|1.085111e-05|2.569702e-10|9.794218e-05|
| 45  |True   |  372  |9.695141e-06|1.046414e-05|2.768185e-10|9.194102e-05|
| 47  |True   |  381  |9.774459e-06|1.269813e-05|1.782567e-10|5.896967e-05|
| 49  |True   |  355  |9.898416e-06|1.066748e-05|2.132337e-10|6.879674e-05|
| 50  |True   |  376  |9.942178e-06|1.071132e-05|1.105658e-10|2.996188e-05|
| 51  |True   |  362  |9.670013e-06|1.069511e-05|1.110027e-10|4.248699e-05|
| 41  |True   |  799  |9.450391e-06|1.304376e-05|7.778430e-11|2.281199e-05|
| 52  |True   |  352  |9.766073e-06|1.123704e-05|6.165959e-11|3.518394e-05|
| 54  |True   |  345  |9.549754e-06|1.130800e-05|1.978400e-10|9.463044e-05|
| 56  |True   |  358  |9.966380e-06|1.100772e-05|2.949774e-10|9.536743e-05|
| 53  |True   |  385  |9.629592e-06|1.076895e-05|2.659722e-10|9.343648e-05|
| 59  |True   |  376  |9.806371e-06|1.057549e-05|1.421514e-10|4.635904e-05|
| 58  |True   |  378  |9.684260e-06|1.045333e-05|1.959698e-10|6.455248e-05|
| 61  |True   |  367  |9.803009e-06|1.224444e-05|1.872239e-10|6.265077e-05|
| 60  |True   |  366  |9.714056e-06|1.048318e-05|1.369546e-10|4.609474e-05|
| 55  |True   |  686  |9.962894e-06|1.073195e-05|2.206418e-10|7.185387e-05|
| 48  |True   | 1229  |9.826119e-06|1.059529e-05|9.010301e-11|2.491830e-05|
| 62  |True   |  396  |9.754105e-06|1.052298e-05|3.853032e-10|1.263215e-04|
| 57  |True   |  701  |9.830727e-06|1.059978e-05|2.082559e-10|6.753318e-05|
| 63  |True   |  371  |9.682298e-06|1.045108e-05|4.784629e-10|1.586838e-04|
| 64  |True   |  344  |9.989175e-06|1.189231e-05|1.308984e-10|4.601801e-05|
| 65  |True   |  352  |9.978282e-06|1.099744e-05|1.326428e-10|4.463137e-05|
| 67  |True   |  379  |9.756886e-06|1.052594e-05|2.022540e-10|6.649233e-05|
| 66  |True   |  403  |9.693131e-06|1.046226e-05|1.329054e-10|4.349069e-05|
