|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  0  |True   |  342  |9.535933e-06|1.348067e-05|1.677069e-10|2.005063e-05|
|  2  |True   |  323  |9.839293e-06|1.348067e-05|1.749509e-10|2.033203e-05|
|  1  |True   |  344  |9.202309e-06|1.497853e-05|1.584293e-11|1.212931e-09|
|  3  |True   |  344  |9.462989e-06|1.497853e-05|1.424241e-11|3.475488e-10|
|  4  |True   |  329  |9.302091e-06|1.407150e-05|1.381550e-10|1.437735e-05|
|  5  |True   |  328  |9.665511e-06|1.354216e-05|1.456413e-10|1.438132e-05|
|  8  |True   |  304  |9.114534e-06|2.536627e-05|1.593968e-10|2.015314e-05|
|  6  |True   |  345  |9.593157e-06|1.209313e-05|1.438688e-10|1.434544e-05|
|  7  |True   |  340  |9.454404e-06|1.195430e-05|1.666432e-10|2.032587e-05|
|  9  |True   |  334  |9.481275e-06|1.710910e-05|2.855108e-11|9.190357e-06|
| 10  |True   |  301  |9.964308e-06|1.294081e-05|6.669804e-10|2.637016e-08|
| 13  |True   |  320  |9.739192e-06|2.213269e-05|1.473480e-10|1.439813e-05|
| 12  |True   |  327  |9.690553e-06|1.497853e-05|1.710573e-10|2.033158e-05|
| 11  |True   |  318  |9.483309e-06|4.851149e-05|4.176480e-13|3.574847e-10|
| 14  |True   |  321  |9.849122e-06|1.234970e-05|1.467493e-10|1.398310e-05|
| 16  |True   |  283  |9.491231e-06|2.482072e-05|5.219631e-10|1.035740e-08|
| 15  |True   |  333  |9.530337e-06|1.203022e-05|1.710670e-10|2.034269e-05|
| 17  |True   |  321  |9.768017e-06|1.664281e-05|1.773219e-10|2.022898e-05|
| 18  |True   |  334  |9.325417e-06|1.182536e-05|1.387766e-10|1.438099e-05|
| 19  |True   |  328  |9.553199e-06|1.412205e-05|1.431139e-10|1.435308e-05|
| 25  |True   |  330  |9.144866e-06|1.213261e-05|1.614049e-10|2.030430e-05|
| 20  |True   |  327  |9.486951e-06|1.503913e-05|5.560012e-10|1.339734e-08|
| 21  |True   |  344  |9.020426e-06|1.224668e-05|1.149521e-11|3.420583e-10|
| 24  |True   |  332  |9.375467e-06|1.187548e-05|1.389991e-10|1.429911e-05|
| 23  |True   |  332  |9.674435e-06|1.228554e-05|1.461956e-10|1.441164e-05|
| 22  |True   |  324  |9.578245e-06|1.664281e-05|1.699064e-10|2.033971e-05|
| 27  |True   |  328  |9.860403e-06|1.348067e-05|1.726906e-10|2.017369e-05|
| 28  |True   |  332  |9.745085e-06|1.224502e-05|1.473798e-10|1.438826e-05|
| 26  |True   |  345  |9.462544e-06|1.201102e-05|2.189469e-13|2.633327e-10|
| 29  |True   |  327  |9.892530e-06|1.380070e-05|1.505516e-10|1.440676e-05|
| 32  |True   |  317  |9.830492e-06|2.536627e-05|1.727584e-10|2.028363e-05|
| 31  |True   |  319  |9.787979e-06|1.364851e-05|1.473521e-10|1.430954e-05|
| 30  |True   |  346  |9.556949e-06|1.348067e-05|7.578612e-12|3.073252e-10|
| 33  |True   |  337  |9.558689e-06|1.497853e-05|6.813865e-12|1.056347e-09|
| 35  |True   |  302  |9.751741e-06|5.303456e-05|1.738107e-10|2.015384e-05|
| 34  |True   |  322  |9.165948e-06|1.858662e-05|1.396585e-10|1.454448e-05|
| 37  |True   |  323  |9.884762e-06|1.238477e-05|1.493614e-10|1.431168e-05|
| 36  |True   |  337  |9.797033e-06|1.849201e-05|7.555328e-10|1.439358e-05|
| 38  |True   |  334  |9.833236e-06|1.523526e-05|1.483745e-10|1.431438e-05|
| 39  |True   |  342  |9.537896e-06|1.203787e-05|1.428252e-10|1.436596e-05|
| 40  |True   |  298  |9.885734e-06|6.013159e-05|1.471920e-10|1.411016e-05|
| 41  |True   |  327  |9.918425e-06|1.497853e-05|1.744764e-10|2.025438e-05|
| 42  |True   |  335  |9.609339e-06|1.210927e-05|1.447777e-10|1.441170e-05|
