|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
| 61  |True   |  900  |9.988376e-06|1.018386e-05|1.503665e-10|1.644598e-03|
| 72  |True   |  418  |9.970286e-06|1.002003e-05|5.552516e-12|3.338397e-05|
| 74  |True   |  451  |9.994547e-06|1.004429e-05|7.496478e-12|4.074003e-05|
| 79  |True   |  409  |9.994366e-06|1.004411e-05|6.470072e-12|3.617949e-05|
| 78  |True   |  415  |9.965071e-06|1.001482e-05|5.024996e-12|3.176324e-05|
| 73  |True   |  475  |9.987657e-06|1.006710e-05|6.122745e-10|4.551491e-05|
| 77  |True   |  481  |9.996097e-06|1.009162e-05|1.795456e-10|4.841249e-05|
| 76  |True   |  489  |9.985612e-06|1.009650e-05|3.289350e-10|4.320925e-05|
| 80  |True   |  475  |9.973633e-06|1.009070e-05|3.065679e-10|4.564050e-05|
| 82  |True   |  468  |9.925656e-06|1.006764e-05|3.709085e-10|4.510769e-05|
| 84  |True   |  471  |9.975475e-06|1.005781e-05|1.753833e-10|2.886940e-05|
| 81  |True   |  600  |9.982071e-06|1.009927e-05|2.303003e-10|3.661153e-05|
| 75  |True   |  787  |9.985451e-06|1.003520e-05|2.743264e-12|1.441757e-05|
| 83  |True   |  516  |9.968884e-06|1.006820e-05|7.934557e-10|9.316861e-03|
| 86  |True   |  469  |9.994004e-06|1.007641e-05|4.116199e-10|4.878829e-05|
| 85  |True   |  467  |9.954907e-06|1.003914e-05|2.262039e-10|3.796431e-05|
| 89  |True   |  478  |9.977148e-06|1.005246e-05|5.219409e-10|4.114867e-05|
| 87  |True   |  467  |9.990274e-06|1.004106e-05|5.385215e-11|3.747440e-05|
| 88  |True   |  485  |9.957141e-06|1.003147e-05|3.465866e-10|3.069280e-05|
| 90  |True   |  473  |9.949976e-06|1.003520e-05|4.587936e-10|3.815808e-05|
| 92  |True   |  422  |9.981204e-06|1.003095e-05|8.322599e-12|4.395536e-05|
| 91  |True   |  488  |9.963810e-06|1.004296e-05|6.845141e-10|4.357584e-05|
| 94  |True   |  409  |9.999565e-06|1.004931e-05|6.582109e-12|3.592550e-05|
| 96  |True   |  472  |9.989635e-06|1.005503e-05|3.493406e-10|3.558326e-05|
| 93  |True   |  584  |9.993196e-06|1.017423e-05|9.725018e-11|3.537503e-05|
| 95  |True   |  597  |9.997032e-06|1.004979e-05|1.255478e-10|3.562136e-05|
| 97  |True   |  472  |9.943029e-06|1.005407e-05|4.953101e-10|3.945406e-05|
| 100 |True   |  413  |9.999719e-06|1.004947e-05|6.253948e-12|3.537376e-05|
| 99  |True   |  473  |9.998186e-06|1.010035e-05|4.512645e-11|4.390805e-05|
| 101 |True   |  410  |9.982983e-06|1.003273e-05|4.282111e-12|2.590581e-05|
| 98  |True   |  538  |9.991316e-06|1.004106e-05|4.173404e-12|2.416743e-05|
| 102 |True   |  480  |9.983079e-06|1.007830e-05|6.125102e-10|4.314110e-05|
| 103 |True   |  466  |9.996848e-06|1.007905e-05|2.314128e-10|3.534043e-05|
| 106 |True   |  406  |9.977294e-06|1.002704e-05|6.684236e-12|3.826016e-05|
| 105 |True   |  436  |9.989497e-06|1.003925e-05|5.344922e-12|3.225630e-05|
| 104 |True   |  476  |9.986661e-06|1.016732e-05|3.499561e-10|4.904281e-05|
| 108 |True   |  417  |9.946149e-06|9.995895e-06|7.725398e-12|4.376547e-05|
| 107 |True   |  469  |9.975470e-06|1.008921e-05|1.943707e-10|3.536952e-05|
| 109 |True   |  414  |9.999617e-06|1.004936e-05|7.572436e-12|4.079490e-05|
| 110 |True   |  426  |9.992947e-06|1.004269e-05|7.971150e-12|4.217902e-05|
| 114 |True   |  407  |9.962089e-06|1.001183e-05|7.020486e-12|4.079474e-05|
| 112 |True   |  499  |9.949841e-06|1.002605e-05|3.647745e-10|3.775377e-05|
| 113 |True   |  506  |9.994004e-06|1.005157e-05|2.908665e-10|3.818900e-05|
| 115 |True   |  478  |9.976582e-06|1.004282e-05|4.340867e-10|3.870423e-05|
| 117 |True   |  424  |9.986901e-06|1.003665e-05|4.583694e-12|2.884950e-05|
| 116 |True   |  491  |9.976803e-06|1.008044e-05|2.953083e-10|4.323810e-05|
| 118 |True   |  499  |9.979046e-06|1.007603e-05|4.562546e-10|4.394613e-05|
| 120 |True   |  408  |9.997245e-06|1.004699e-05|7.343396e-12|3.960241e-05|
| 119 |True   |  494  |9.961335e-06|1.005895e-05|4.856256e-10|4.786684e-05|
| 121 |True   |  410  |9.984168e-06|1.003790e-05|5.246300e-12|3.225855e-05|
| 122 |True   |  472  |9.979144e-06|1.004769e-05|5.641939e-10|4.517371e-05|
| 124 |True   |  463  |9.976165e-06|1.002806e-05|5.566800e-11|2.885957e-05|
| 123 |True   |  600  |9.961147e-06|1.001540e-05|1.671278e-10|3.532183e-05|
| 126 |True   |  478  |9.969747e-06|1.013602e-05|2.915456e-10|5.322080e-05|
