|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  1  |True   |  361  |9.828847e-06|1.019130e-05|3.812095e-11|5.365986e-05|
|  6  |True   |  355  |9.953359e-06|1.039077e-05|3.916867e-11|5.936772e-05|
|  3  |True   |  368  |9.927684e-06|1.026357e-05|3.240105e-11|4.726137e-05|
|  4  |True   |  366  |9.868957e-06|1.010615e-05|4.036198e-11|4.976730e-05|
|  2  |True   |  358  |9.941212e-06|1.019902e-05|2.114498e-11|3.525061e-05|
|  5  |True   |  358  |9.968018e-06|1.023665e-05|4.804608e-11|5.802623e-05|
|  7  |True   |  383  |9.867865e-06|1.006387e-05|7.878608e-11|7.417812e-05|
|  9  |True   |  361  |9.852007e-06|1.019128e-05|3.301037e-11|4.763537e-05|
| 10  |True   |  356  |9.830314e-06|1.020342e-05|3.304276e-11|4.750422e-05|
|  8  |True   |  374  |9.993928e-06|1.039852e-05|4.712331e-11|4.798399e-05|
| 12  |True   |  355  |9.868145e-06|1.019859e-05|2.312620e-11|3.589080e-05|
| 11  |True   |  406  |9.947605e-06|1.014366e-05|3.131472e-11|3.608811e-05|
|  0  |True   |  570  |9.982024e-06|1.051185e-05|1.125159e-11|2.871296e-05|
| 15  |True   |  361  |9.843258e-06|1.020932e-05|3.425205e-11|4.733732e-05|
| 14  |True   |  391  |9.855605e-06|1.005165e-05|4.095113e-11|4.244855e-05|
| 13  |True   |  380  |9.932889e-06|1.015101e-05|4.233909e-11|4.668670e-05|
| 18  |True   |  372  |9.834056e-06|1.007244e-05|4.059339e-11|5.052400e-05|
| 22  |True   |  372  |9.900650e-06|1.020095e-05|3.432311e-11|4.590349e-05|
| 21  |True   |  378  |9.934400e-06|1.023248e-05|2.459536e-11|3.569282e-05|
| 19  |True   |  390  |9.897463e-06|1.009351e-05|3.981339e-11|4.438792e-05|
| 23  |True   |  372  |9.927708e-06|1.015022e-05|2.058563e-11|2.969315e-05|
| 17  |True   |  488  |9.923538e-06|1.014632e-05|5.320512e-11|5.937241e-05|
| 25  |True   |  380  |9.896346e-06|1.024568e-05|2.561280e-11|3.124385e-05|
| 24  |True   |  666  |9.906119e-06|1.113592e-05|1.468695e-11|2.754830e-05|
| 16  |True   |  731  |9.984035e-06|1.049269e-05|2.053104e-11|3.492369e-05|
| 26  |True   |  360  |9.921022e-06|1.033570e-05|1.762028e-11|2.888345e-05|
| 27  |True   |  359  |9.920257e-06|1.016565e-05|5.679402e-11|6.366047e-05|
| 30  |True   |  357  |9.876918e-06|1.036435e-05|3.007079e-11|4.720988e-05|
| 28  |True   |  386  |9.970292e-06|1.016635e-05|3.259184e-11|3.721947e-05|
| 31  |True   |  367  |9.926203e-06|1.019460e-05|2.929492e-11|4.160745e-05|
