|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  3  |True   |  427  |9.067182e-06|9.206934e-06|5.652492e-14|   0   |
|  6  |True   |  383  |9.146040e-06|9.204399e-06|8.868301e-14|   0   |
|  4  |True   |  570  |9.989583e-06|1.172277e-05|7.616658e-10|   7   |
|  1  |True   |  578  |9.244872e-06|1.462598e-05|9.189321e-10|   6   |
| 10  |True   |  643  |9.468109e-06|1.023944e-05|6.612132e-10|  10   |
|  7  |True   |  692  |9.933065e-06|1.554362e-05|3.537599e-13|  12   |
|  9  |True   |  726  |9.187155e-06|1.198515e-05|6.866584e-10|  17   |
| 11  |True   |  929  |9.576787e-06|1.650778e-05|9.182694e-10|  22   |
| 12  |True   |  968  |9.922508e-06|1.156644e-05|5.205014e-10|  21   |
|  5  |True   |  976  |9.131790e-06|1.135590e-05|4.614380e-10|  23   |
|  2  |True   | 1268  |9.632884e-06|1.380158e-05|4.957518e-10|  40   |
| 14  |True   |  773  |9.454829e-06|1.195938e-05|8.593741e-10|  14   |
|  8  |True   | 1289  |9.879086e-06|1.367400e-05|5.222080e-10|  34   |
| 19  |True   |  523  |9.815908e-06|1.527117e-05|1.035025e-13|   5   |
| 21  |True   |  638  |9.220863e-06|1.287667e-05|9.511908e-10|  10   |
| 16  |True   |  916  |9.225970e-06|1.133377e-05|8.070855e-10|  20   |
| 15  |True   | 1016  |9.311113e-06|1.210398e-05|8.038656e-10|  27   |
| 17  |True   |  986  |9.408840e-06|1.048460e-05|6.949879e-10|  27   |
| 23  |True   |  561  |9.411131e-06|9.444899e-06|8.479335e-10|   6   |
| 24  |True   |  530  |9.881915e-06|1.079385e-05|7.844975e-10|   6   |
| 18  |True   | 1105  |9.993714e-06|1.589274e-05|5.914341e-10|  29   |
| 20  |True   |  964  |9.330010e-06|2.351002e-05|2.810183e-13|  25   |
| 13  |True   | 1469  |9.085433e-06|1.690176e-05|6.853884e-10|  56   |
| 22  |True   |  926  |9.205232e-06|1.315963e-05|6.719836e-10|  25   |
| 26  |True   |  721  |9.996895e-06|1.493234e-05|9.156343e-10|  16   |
|  0  |True   | 2318  |9.181822e-06|2.108533e-05|5.516451e-10|  87   |
| 25  |True   |  859  |9.647825e-06|1.698495e-05|8.371018e-10|  21   |
| 32  |True   |  445  |9.952531e-06|1.277226e-05|9.846279e-14|   2   |
| 29  |True   |  673  |9.418788e-06|1.395927e-05|1.353880e-12|   9   |
| 27  |True   |  797  |9.682184e-06|1.624817e-05|4.621566e-10|  22   |
| 30  |True   |  815  |9.631978e-06|1.572179e-05|7.413832e-10|  21   |
| 28  |True   |  942  |9.677721e-06|1.085266e-05|6.026820e-10|  21   |
| 36  |True   |  591  |9.490321e-06|9.739500e-06|1.466345e-12|   3   |
| 38  |True   |  483  |9.396436e-06|9.612394e-06|7.301824e-14|   3   |
| 35  |True   |  870  |9.887804e-06|1.876387e-05|5.898446e-10|  23   |
| 33  |True   | 1180  |9.199219e-06|1.035787e-05|2.439533e-10|  32   |
| 43  |True   |  475  |9.695341e-06|1.096121e-05|1.102789e-13|   1   |
| 31  |True   | 1201  |9.088749e-06|1.695994e-05|6.368514e-10|  43   |
| 34  |True   | 1226  |9.700193e-06|1.069718e-05|5.393439e-10|  34   |
| 42  |True   |  826  |9.619940e-06|1.281578e-05|7.183258e-14|  16   |
| 37  |True   | 1262  |9.529936e-06|1.544821e-05|6.652684e-10|  37   |
| 41  |True   |  964  |9.498569e-06|1.995683e-05|6.990482e-10|  27   |
| 47  |True   |  441  |9.111998e-06|9.118789e-06|1.502677e-13|   0   |
| 48  |True   |  446  |9.253241e-06|9.948600e-06|9.961283e-10|   1   |
| 39  |True   | 1619  |9.392928e-06|1.051939e-05|2.318552e-10|  54   |
| 50  |True   |  735  |9.445224e-06|1.050964e-05|8.689090e-10|  16   |
| 46  |True   | 1078  |9.403373e-06|1.143848e-05|6.401867e-10|  23   |
| 53  |True   |  596  |9.321564e-06|1.383290e-05|1.246676e-13|   8   |
| 52  |True   |  662  |9.272596e-06|1.730252e-05|9.524703e-10|  11   |
| 51  |True   |  891  |9.438193e-06|2.087505e-05|3.948812e-13|  29   |
| 54  |True   |  765  |9.804225e-06|1.149232e-05|1.019518e-12|  13   |
| 49  |True   | 1027  |9.776329e-06|2.136250e-05|5.237401e-10|  29   |
| 45  |True   | 1549  |9.001221e-06|1.945902e-05|7.688157e-10|  47   |
| 40  |True   | 1891  |9.389569e-06|1.778468e-05|4.774832e-10|  52   |
| 58  |True   |  440  |9.910546e-06|1.429359e-05|9.966899e-10|   1   |
| 56  |True   |  682  |9.066854e-06|1.219048e-05|7.160703e-10|   8   |
| 57  |True   |  546  |9.196307e-06|1.154276e-05|6.946751e-14|   9   |
| 55  |True   |  981  |9.845754e-06|1.162508e-05|8.153446e-10|  22   |
| 59  |True   |  619  |9.267328e-06|1.493582e-05|5.780878e-14|  10   |
| 60  |True   |  765  |9.950742e-06|1.247864e-05|7.503597e-10|  13   |
| 69  |True   |  416  |9.450497e-06|1.325138e-05|8.095985e-10|   1   |
| 61  |True   |  819  |9.740452e-06|1.146522e-05|5.225496e-10|  16   |
| 63  |True   |  740  |9.784269e-06|1.186582e-05|7.983846e-10|  16   |
| 65  |True   |  701  |9.112681e-06|1.099643e-05|7.769718e-10|  12   |
| 66  |True   |  829  |9.862647e-06|1.231174e-05|8.814161e-10|  20   |
| 62  |True   | 1110  |9.928111e-06|1.712225e-05|5.231146e-10|  39   |
| 64  |True   | 1093  |9.472403e-06|1.574437e-05|7.616046e-10|  29   |
| 76  |True   |  530  |9.168988e-06|1.028815e-05|8.442691e-10|   7   |
| 67  |True   | 1193  |9.956396e-06|1.564138e-05|7.848418e-10|  37   |
| 78  |True   |  424  |9.023095e-06|1.029776e-05|9.789632e-10|   2   |
| 68  |True   | 1294  |9.816535e-06|1.156436e-05|2.833720e-10|  38   |
| 73  |True   |  908  |9.251298e-06|1.173067e-05|5.939332e-10|  25   |
| 71  |True   | 1185  |9.920033e-06|2.456009e-05|6.355989e-10|  40   |
| 79  |True   |  396  |9.272981e-06|9.486473e-06|1.724195e-13|   0   |
| 72  |True   | 1190  |9.247188e-06|1.410612e-05|9.560574e-10|  27   |
| 82  |True   |  592  |9.191212e-06|1.021997e-05|9.060018e-10|   4   |
| 74  |True   | 1413  |9.836198e-06|1.420051e-05|8.036439e-10|  31   |
| 70  |True   | 1842  |9.341073e-06|2.865147e-05|4.973405e-10|  56   |
| 75  |True   | 1487  |9.441990e-06|2.095601e-05|3.309689e-10|  57   |
| 85  |True   |  766  |9.859022e-06|1.197629e-05|1.241776e-13|  15   |
| 83  |True   |  975  |9.348753e-06|1.805622e-05|8.367045e-10|  31   |
| 87  |True   |  716  |9.691965e-06|1.115631e-05|9.245168e-10|  11   |
| 84  |True   | 1026  |9.081061e-06|1.182883e-05|6.009112e-10|  27   |
| 86  |True   |  886  |9.503810e-06|1.651468e-05|7.973363e-10|  18   |
| 44  |True   | 4499  |9.024362e-06|1.107693e-05|2.565563e-12|  156  |
| 77  |True   | 2084  |9.159994e-06|1.360352e-05|8.666245e-10|  67   |
| 90  |True   |  689  |9.452265e-06|1.710467e-05|7.934797e-10|  13   |
| 93  |True   |  597  |9.055331e-06|9.950721e-06|4.708754e-10|   9   |
| 96  |True   |  564  |9.305703e-06|1.233656e-05|1.164366e-13|   8   |
| 89  |True   | 1153  |9.554906e-06|1.085844e-05|7.320289e-10|  26   |
| 95  |True   |  760  |9.279908e-06|9.382455e-06|5.147634e-10|  17   |
| 94  |True   |  845  |9.357454e-06|1.338030e-05|8.869121e-10|  25   |
| 88  |True   | 1558  |9.798804e-06|1.141062e-05|6.947044e-10|  50   |
| 100 |True   |  476  |9.948666e-06|1.187125e-05|8.229119e-10|   1   |
| 92  |True   | 1507  |9.497874e-06|1.812786e-05|6.205912e-10|  44   |
| 98  |True   |  955  |9.888657e-06|1.310479e-05|7.533046e-10|  26   |
| 103 |True   |  414  |9.008316e-06|9.066810e-06|9.891087e-14|   0   |
| 97  |True   | 1177  |9.985572e-06|1.509609e-05|6.050269e-10|  31   |
| 91  |True   | 1754  |9.529570e-06|1.346225e-05|3.544731e-10|  41   |
| 102 |True   |  681  |9.419470e-06|1.154149e-05|7.254126e-14|  14   |
| 81  |True   | 2788  |9.658856e-06|1.510230e-05|3.832433e-10|  96   |
| 101 |True   |  979  |9.734408e-06|1.223810e-05|8.135206e-10|  20   |
| 104 |True   |  749  |9.001090e-06|1.338123e-05|5.359318e-10|  16   |
| 106 |True   |  518  |9.914483e-06|1.162570e-05|9.351836e-10|   2   |
| 105 |True   |  822  |9.390157e-06|2.208859e-05|8.412362e-10|  24   |
| 110 |True   |  591  |9.690672e-06|1.694935e-05|8.913589e-10|  11   |
| 112 |True   |  593  |9.374044e-06|1.030737e-05|1.134615e-13|   6   |
| 109 |True   |  732  |9.423540e-06|1.456909e-05|8.132439e-10|  15   |
| 115 |True   |  451  |9.234648e-06|9.553074e-06|3.026762e-12|   0   |
| 111 |True   |  963  |9.693946e-06|1.112204e-05|8.330110e-10|  16   |
| 118 |True   |  542  |9.039723e-06|1.112829e-05|8.182063e-10|   4   |
| 108 |True   | 1359  |9.871655e-06|1.590139e-05|9.388270e-10|  32   |
| 121 |True   |  384  |9.888820e-06|9.926206e-06|1.055052e-13|   0   |
| 113 |True   | 1101  |9.384460e-06|1.278056e-05|9.611658e-10|  27   |
| 117 |True   |  695  |9.539233e-06|1.321131e-05|9.325227e-10|  13   |
| 114 |True   | 1127  |9.682996e-06|1.208102e-05|7.748365e-10|  30   |
| 120 |True   |  701  |9.900482e-06|1.299104e-05|7.502728e-10|  16   |
| 99  |True   | 2985  |9.370146e-06|1.444906e-05|1.087288e-10|  116  |
| 119 |True   |  986  |9.483192e-06|1.173884e-05|5.719522e-10|  16   |
| 116 |True   | 1577  |9.675139e-06|1.271100e-05|2.583565e-10|  49   |
| 126 |True   |  760  |9.429052e-06|1.371933e-05|8.861902e-10|  17   |
| 127 |True   |  751  |9.974297e-06|1.975009e-05|9.417406e-10|  18   |
| 123 |True   |  831  |9.456951e-06|1.084166e-05|7.385460e-10|  17   |
| 124 |True   | 1179  |9.528584e-06|1.439648e-05|3.841671e-10|  36   |
| 135 |True   |  427  |9.181748e-06|9.260824e-06|1.035369e-13|   0   |
| 133 |True   |  621  |9.373009e-06|2.187627e-05|1.364855e-12|  13   |
| 132 |True   |  914  |9.285420e-06|1.646833e-05|8.084178e-10|  27   |
| 130 |True   | 1163  |9.450058e-06|1.406986e-05|7.481173e-10|  27   |
| 128 |True   | 1575  |9.737755e-06|1.287029e-05|6.437504e-10|  50   |
| 125 |True   | 1613  |9.948083e-06|1.356639e-05|9.752321e-10|  47   |
| 134 |True   |  812  |9.265293e-06|1.463253e-05|8.538835e-10|  17   |
| 136 |True   |  707  |9.002661e-06|1.384588e-05|7.321003e-10|  15   |
| 138 |True   |  458  |9.503791e-06|1.208976e-05|9.216173e-10|   4   |
| 142 |True   |  382  |9.979947e-06|1.005171e-05|8.004646e-14|   0   |
| 137 |True   |  872  |9.320679e-06|1.580100e-05|8.728567e-10|  22   |
| 141 |True   |  698  |9.050517e-06|1.200818e-05|8.376778e-10|   8   |
| 122 |True   | 2639  |9.590363e-06|1.230458e-05|5.010979e-10|  86   |
| 140 |True   |  842  |9.298523e-06|1.078049e-05|8.363497e-10|  14   |
| 139 |True   | 1025  |9.337786e-06|2.008010e-05|6.823173e-10|  27   |
| 143 |True   |  871  |9.115458e-06|1.542010e-05|9.640447e-10|  16   |
| 80  |True   | 6819  |9.728058e-06|1.237564e-05|2.350368e-10|  257  |
| 146 |True   |  487  |9.865089e-06|1.390452e-05|1.298836e-13|   4   |
| 131 |True   | 2487  |9.685828e-06|1.688611e-05|5.074646e-10|  88   |
| 149 |True   |  591  |9.429602e-06|1.334903e-05|8.838446e-10|  10   |
| 151 |True   |  510  |9.305279e-06|1.820514e-05|7.139811e-14|   7   |
| 153 |True   |  490  |9.273535e-06|1.038960e-05|6.922242e-14|   5   |
| 144 |True   | 1308  |9.664516e-06|2.362021e-05|3.487177e-10|  40   |
| 150 |True   |  720  |9.310178e-06|1.009910e-05|6.632888e-10|  14   |
| 145 |True   | 1361  |9.860305e-06|1.227031e-05|5.135726e-10|  47   |
