|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  1  |True   |  366  |9.850261e-06|1.001848e-05|7.748923e-13|   0   |
|  6  |True   |  472  |9.311551e-06|9.673092e-06|1.416855e-13|   3   |
|  9  |True   |  517  |9.779331e-06|1.047807e-05|7.055984e-10|   8   |
|  0  |True   |  833  |9.483117e-06|1.296407e-05|9.754724e-10|  23   |
|  5  |True   | 1370  |9.633069e-06|1.084704e-05|4.838861e-10|  48   |
| 12  |True   | 1345  |9.188554e-06|1.346566e-05|3.476198e-10|  38   |
|  4  |True   | 1430  |9.719783e-06|1.627869e-05|5.429105e-10|  46   |
|  8  |True   | 1576  |9.384310e-06|1.367490e-05|4.476407e-10|  60   |
| 15  |True   | 1129  |9.883964e-06|1.232831e-05|3.810273e-10|  35   |
| 16  |True   |  896  |9.193257e-06|1.624376e-05|5.918895e-10|  26   |
| 10  |True   | 2270  |9.343335e-06|1.101176e-05|3.161740e-10|  99   |
| 18  |True   |  951  |9.034408e-06|1.909964e-05|4.560080e-10|  31   |
| 19  |True   | 1406  |9.601968e-06|1.481838e-05|3.899325e-10|  45   |
|  7  |True   | 2972  |9.589979e-06|1.326464e-05|4.706425e-10|  118  |
| 21  |True   | 1127  |9.925532e-06|1.086843e-05|5.325110e-10|  34   |
| 24  |True   | 1279  |9.853581e-06|1.224915e-05|5.997374e-10|  42   |
| 20  |True   | 2498  |9.463406e-06|1.297769e-05|6.278756e-10|  106  |
| 23  |True   | 1901  |9.326548e-06|1.635169e-05|6.790938e-10|  76   |
| 22  |True   | 2539  |9.184805e-06|1.057674e-05|3.459727e-10|  92   |
| 25  |True   | 1421  |9.777956e-06|1.104454e-05|1.104331e-12|  49   |
|  3  |True   | 4564  |9.423720e-06|9.661846e-06|1.046811e-10|  180  |
| 28  |True   |  767  |9.261812e-06|1.035612e-05|1.723877e-13|  19   |
| 27  |True   | 1483  |9.557586e-06|1.115019e-05|6.930643e-13|  48   |
| 32  |True   |  519  |9.572934e-06|1.023315e-05|4.113707e-13|   7   |
| 26  |True   | 2097  |9.082095e-06|1.520904e-05|5.162976e-10|  90   |
| 11  |True   | 5444  |9.250393e-06|1.193771e-05|1.058369e-10|  227  |
| 33  |True   | 1110  |9.436306e-06|1.494805e-05|4.840410e-10|  38   |
| 29  |True   | 1483  |9.593121e-06|1.115736e-05|3.475119e-12|  48   |
| 34  |True   | 1143  |9.412203e-06|1.348320e-05|2.358251e-10|  36   |
| 36  |True   |  808  |9.401527e-06|1.031301e-05|6.954687e-10|  22   |
| 39  |True   |  576  |9.578561e-06|1.289043e-05|7.911581e-10|   7   |
| 40  |True   |  741  |9.539941e-06|9.731131e-06|3.312080e-10|  22   |
| 38  |True   | 1284  |9.040224e-06|1.424243e-05|4.120191e-10|  42   |
| 41  |True   |  633  |9.246781e-06|1.166661e-05|6.148217e-10|  13   |
| 30  |True   | 2360  |9.928460e-06|1.242317e-05|2.525186e-10|  89   |
| 42  |True   |  624  |9.286101e-06|9.771201e-06|5.102377e-10|   9   |
| 31  |True   | 2392  |9.423038e-06|1.178914e-05|1.295187e-10|  91   |
| 37  |True   | 1734  |9.712500e-06|1.363911e-05|4.158259e-10|  70   |
| 14  |True   | 6030  |9.548975e-06|9.605974e-06|3.735708e-10|  232  |
| 43  |True   | 1016  |9.042511e-06|1.040832e-05|6.251477e-10|  23   |
| 46  |True   |  807  |9.339471e-06|1.039600e-05|5.854867e-10|  20   |
| 44  |True   |  865  |9.915450e-06|1.276547e-05|6.402430e-10|  24   |
| 48  |True   |  656  |9.869129e-06|1.102349e-05|7.531453e-10|  13   |
| 49  |True   |  689  |9.735618e-06|1.522298e-05|6.039724e-10|  15   |
| 45  |True   | 1277  |9.121860e-06|9.349416e-06|4.814239e-10|  41   |
| 35  |True   | 3103  |9.287959e-06|9.858895e-06|2.168256e-12|  121  |
| 52  |True   |  934  |9.372150e-06|1.289857e-05|5.079612e-10|  31   |
| 54  |True   | 1061  |9.571617e-06|1.620672e-05|7.283815e-10|  32   |
| 50  |True   | 1864  |9.465241e-06|1.436114e-05|3.760999e-10|  67   |
| 51  |True   | 1708  |9.173854e-06|1.169883e-05|2.922761e-10|  56   |
|  2  |True   | 8864  |9.242556e-06|9.576627e-06|2.261873e-11|  361  |
| 47  |True   | 2487  |9.945302e-06|1.522914e-05|5.029560e-10|  95   |
| 62  |True   |  529  |9.499382e-06|1.039240e-05|8.695860e-10|   6   |
| 55  |True   | 2177  |9.432056e-06|9.906769e-06|7.564343e-10|  73   |
| 60  |True   | 1080  |9.938571e-06|1.117024e-05|4.819652e-10|  29   |
| 56  |True   | 2082  |9.616420e-06|1.241118e-05|2.227368e-10|  65   |
| 63  |True   |  876  |9.720892e-06|1.159667e-05|4.027064e-10|  23   |
| 65  |True   |  653  |9.081553e-06|9.720215e-06|7.416350e-10|  14   |
| 61  |True   | 1472  |9.792332e-06|1.133231e-05|2.834925e-10|  55   |
| 59  |True   | 2069  |9.067626e-06|1.132631e-05|1.631923e-10|  82   |
| 13  |True   | 10213 |9.484194e-06|1.131395e-05|6.977655e-10|  418  |
| 70  |True   |  527  |9.277995e-06|1.012366e-05|8.345385e-10|   7   |
| 58  |True   | 3039  |9.823289e-06|1.215753e-05|5.554693e-10|  119  |
| 64  |True   | 2109  |9.774088e-06|1.223186e-05|2.330293e-10|  81   |
| 66  |True   | 1476  |9.642923e-06|1.076222e-05|2.555041e-10|  48   |
| 72  |True   |  846  |9.169333e-06|1.467304e-05|4.881933e-10|  24   |
| 68  |True   | 1809  |9.120287e-06|1.074030e-05|7.150929e-10|  67   |
| 67  |True   | 1949  |9.838862e-06|1.067006e-05|7.205485e-10|  70   |
| 53  |True   | 4425  |9.831574e-06|1.128959e-05|1.205956e-10|  189  |
| 69  |True   | 2036  |9.565320e-06|9.952309e-06|2.010020e-10|  76   |
| 17  |True   | 11025 |9.595454e-06|2.409830e-05|9.145928e-10|  459  |
| 80  |True   |  545  |9.221135e-06|9.849605e-06|3.923378e-13|   8   |
| 81  |True   |  529  |9.234707e-06|9.667689e-06|6.935492e-10|   8   |
| 82  |True   |  423  |9.465507e-06|9.482239e-06|1.390176e-13|   0   |
| 78  |True   | 1138  |9.715028e-06|1.424617e-05|5.318001e-10|  42   |
| 79  |True   |  997  |9.014658e-06|1.394105e-05|6.017225e-10|  27   |
| 74  |True   | 1808  |9.142427e-06|1.124889e-05|4.198542e-10|  59   |
| 88  |True   |  695  |9.560902e-06|1.111981e-05|4.275468e-10|  16   |
| 73  |True   | 2731  |9.220793e-06|1.177984e-05|2.708638e-10|  99   |
| 85  |True   | 1286  |9.304412e-06|1.005963e-05|3.111009e-10|  34   |
| 86  |True   | 1210  |9.189987e-06|1.050003e-05|3.203884e-10|  35   |
| 91  |True   |  504  |9.619462e-06|1.056103e-05|7.126051e-10|   8   |
| 84  |True   | 2081  |9.301401e-06|1.149284e-05|3.995797e-10|  62   |
| 94  |True   |  739  |9.093249e-06|9.487064e-06|4.177727e-13|  20   |
| 87  |True   | 2360  |9.968133e-06|1.064127e-05|2.100939e-12|  88   |
| 89  |True   | 2195  |9.056409e-06|1.191418e-05|4.130238e-10|  83   |
| 92  |True   | 1425  |9.070477e-06|1.096627e-05|5.248143e-10|  46   |
| 93  |True   | 1400  |9.157673e-06|9.483915e-06|2.497756e-10|  46   |
| 95  |True   |  751  |9.303582e-06|1.027771e-05|1.313404e-12|  16   |
| 90  |True   | 1909  |9.165029e-06|9.754199e-06|3.085650e-10|  59   |
| 98  |True   |  465  |9.357145e-06|9.954056e-06|8.669976e-10|   4   |
| 96  |True   | 1343  |9.127378e-06|1.047085e-05|3.452222e-10|  40   |
| 97  |True   | 1417  |9.048725e-06|9.098277e-06|5.265240e-10|  45   |
| 99  |True   | 1346  |9.466875e-06|1.424928e-05|4.368574e-10|  41   |
| 71  |True   | 6526  |9.427359e-06|1.963261e-05|3.461227e-10|  297  |
| 103 |True   | 1099  |9.273394e-06|1.268962e-05|3.524696e-10|  26   |
| 105 |True   |  586  |9.948241e-06|1.271590e-05|6.467418e-10|   9   |
| 75  |True   | 6324  |9.066891e-06|1.188293e-05|1.992507e-10|  268  |
| 106 |True   |  788  |9.206018e-06|1.194573e-05|4.991494e-10|  23   |
| 77  |True   | 6443  |9.334221e-06|1.315909e-05|1.501183e-10|  258  |
| 83  |True   | 6319  |9.360947e-06|1.050367e-05|6.633174e-10|  263  |
| 104 |True   | 1402  |9.983488e-06|1.347527e-05|3.739281e-10|  47   |
| 101 |True   | 2749  |9.607304e-06|1.081485e-05|2.096684e-10|  115  |
| 108 |True   | 1086  |9.294474e-06|1.476899e-05|5.241044e-10|  42   |
| 114 |True   |  769  |9.635215e-06|1.039246e-05|7.653596e-10|  18   |
| 113 |True   |  888  |9.131940e-06|1.293180e-05|5.399536e-10|  26   |
| 111 |True   | 1335  |9.318152e-06|1.023099e-05|3.797040e-10|  45   |
| 112 |True   | 1031  |9.072351e-06|1.297666e-05|7.537845e-10|  36   |
| 109 |True   | 1835  |9.500838e-06|1.021730e-05|4.464788e-10|  62   |
| 110 |True   | 1822  |9.119868e-06|1.174452e-05|3.190972e-10|  59   |
| 115 |True   | 1237  |9.684891e-06|1.133712e-05|3.111843e-10|  45   |
| 117 |True   |  676  |9.019564e-06|9.934445e-06|8.512159e-10|  13   |
| 120 |True   |  987  |9.910604e-06|1.290966e-05|5.335903e-10|  31   |
| 107 |True   | 3281  |9.095286e-06|9.753331e-06|2.311672e-10|  116  |
| 100 |True   | 5091  |9.060679e-06|1.332895e-05|5.259064e-11|  207  |
| 119 |True   | 1445  |9.152809e-06|1.003199e-05|1.028592e-12|  54   |
| 118 |True   | 1784  |9.567175e-06|9.592113e-06|1.157811e-12|  60   |
| 124 |True   | 1015  |9.183409e-06|9.805681e-06|5.941461e-10|  31   |
| 116 |True   | 2357  |9.328698e-06|1.484735e-05|3.132264e-10|  80   |
| 127 |True   |  780  |9.617888e-06|1.340287e-05|9.134769e-10|  22   |
| 121 |True   | 2072  |9.354457e-06|1.145598e-05|3.394293e-10|  76   |
| 126 |True   |  981  |9.860429e-06|1.146076e-05|4.965021e-10|  27   |
| 125 |True   | 1282  |9.196328e-06|1.046749e-05|4.307064e-10|  40   |
| 130 |True   |  580  |9.922011e-06|1.104342e-05|1.504491e-13|  10   |
| 131 |True   |  810  |9.295564e-06|9.406850e-06|2.151413e-12|  18   |
| 122 |True   | 2691  |9.866965e-06|1.547372e-05|3.377351e-10|  116  |
| 132 |True   |  916  |9.717199e-06|1.081241e-05|9.359822e-10|  22   |
| 137 |True   |  591  |9.860951e-06|1.419206e-05|1.287187e-13|  10   |
| 134 |True   | 1319  |9.831359e-06|1.532712e-05|7.925116e-10|  47   |
| 128 |True   | 2464  |9.510915e-06|1.062670e-05|3.711990e-10|  87   |
| 136 |True   | 1437  |9.689686e-06|1.131643e-05|2.956466e-10|  42   |
| 135 |True   | 1578  |9.351121e-06|2.638240e-05|3.145138e-10|  65   |
| 102 |True   | 7953  |9.029416e-06|1.616925e-05|1.523282e-11|  337  |
| 76  |True   | 12826 |9.428948e-06|1.535545e-05|9.153221e-10|  548  |
| 133 |True   | 2188  |9.772821e-06|1.135919e-05|2.598564e-10|  77   |
| 142 |True   |  658  |9.511037e-06|1.056754e-05|5.729090e-10|  12   |
| 143 |True   |  593  |9.553142e-06|1.105461e-05|9.003912e-13|  10   |
| 141 |True   | 1288  |9.690076e-06|1.290643e-05|4.844334e-10|  40   |
| 138 |True   | 1860  |9.307922e-06|1.116537e-05|7.988571e-10|  58   |
| 139 |True   | 2013  |9.425563e-06|1.144238e-05|3.491644e-10|  72   |
| 149 |True   |  911  |9.603042e-06|1.130874e-05|3.723015e-10|  27   |
| 144 |True   | 1472  |9.440018e-06|1.542183e-05|2.294699e-10|  44   |
| 148 |True   | 1064  |9.056772e-06|9.838271e-06|5.592057e-10|  22   |
| 147 |True   | 1239  |9.558318e-06|1.038373e-05|6.408763e-10|  36   |
| 57  |True   | 17764 |9.086741e-06|1.134523e-05|7.066936e-10|  714  |
| 150 |True   |  793  |9.663250e-06|1.408912e-05|7.323832e-10|  23   |
| 145 |True   | 1928  |9.294294e-06|1.001758e-05|3.630633e-10|  79   |
| 146 |True   | 2067  |9.918818e-06|1.892072e-05|4.516867e-10|  70   |
| 153 |True   |  553  |9.520798e-06|1.010418e-05|7.155556e-10|  11   |
| 129 |True   | 4767  |9.664199e-06|9.702612e-06|3.326065e-10|  188  |
| 152 |True   | 1318  |9.786935e-06|1.131773e-05|9.713681e-10|  42   |
| 158 |True   |  673  |9.270638e-06|1.014110e-05|4.784225e-10|  14   |
| 151 |True   | 1503  |9.927226e-06|1.433315e-05|3.219917e-10|  51   |
| 156 |True   |  905  |9.264835e-06|1.225345e-05|1.649608e-13|  25   |
| 155 |True   | 1389  |9.299192e-06|1.261559e-05|2.628886e-10|  47   |
| 161 |True   |  699  |9.271750e-06|9.486211e-06|6.248396e-13|  13   |
| 157 |True   | 1520  |9.631022e-06|1.352109e-05|6.377044e-10|  54   |
| 164 |True   |  671  |9.717848e-06|9.964667e-06|8.666583e-10|  14   |
| 159 |True   | 1693  |9.657635e-06|1.092200e-05|3.209663e-10|  49   |
| 163 |True   | 1171  |9.554200e-06|1.135358e-05|2.580466e-10|  33   |
| 167 |True   |  936  |9.165807e-06|1.518825e-05|6.163370e-10|  31   |
| 170 |True   |  719  |9.955798e-06|1.425499e-05|6.304069e-10|  20   |
| 162 |True   | 1780  |9.642408e-06|1.644785e-05|2.928559e-10|  64   |
| 172 |True   |  435  |9.544850e-06|9.917282e-06|5.358981e-13|   2   |
| 160 |True   | 2337  |9.073698e-06|1.001464e-05|2.956546e-10|  89   |
| 169 |True   | 1087  |9.651372e-06|1.185424e-05|2.380006e-10|  35   |
| 165 |True   | 2001  |9.447154e-06|1.762647e-05|4.063543e-10|  73   |
| 174 |True   |  546  |9.832442e-06|1.117487e-05|7.047436e-10|   7   |
| 154 |True   | 3204  |9.484364e-06|1.249818e-05|2.852978e-10|  125  |
| 175 |True   |  710  |9.856244e-06|1.133724e-05|3.482965e-10|  15   |
| 178 |True   |  501  |9.976244e-06|1.040317e-05|7.708232e-10|   6   |
| 173 |True   | 1093  |9.054099e-06|1.986061e-05|4.001414e-10|  38   |
| 180 |True   |  431  |9.975956e-06|1.037641e-05|9.795278e-10|   0   |
| 171 |True   | 1877  |9.553312e-06|1.065048e-05|6.304554e-10|  63   |
| 182 |True   |  721  |9.358844e-06|1.013997e-05|8.410095e-10|  16   |
| 168 |True   | 2900  |9.595679e-06|2.769835e-05|9.452163e-11|  138  |
| 185 |True   |  681  |9.534165e-06|1.339263e-05|5.299300e-10|  19   |
| 184 |True   | 1100  |9.779431e-06|1.073379e-05|5.443717e-10|  35   |
| 123 |True   | 10793 |9.854443e-06|1.759277e-05|1.093384e-10|  447  |
| 140 |True   | 6874  |9.897955e-06|1.275889e-05|1.218556e-10|  277  |
| 179 |True   | 1679  |9.993652e-06|1.173345e-05|2.808253e-10|  59   |
| 181 |True   | 1591  |9.363343e-06|9.997998e-06|3.478227e-10|  59   |
| 188 |True   |  852  |9.146057e-06|1.130536e-05|6.396192e-10|  21   |
| 194 |True   |  457  |9.972146e-06|1.114689e-05|1.749203e-13|   3   |
| 183 |True   | 2384  |9.613918e-06|1.175121e-05|1.538830e-10|  97   |
| 177 |True   | 3123  |9.931091e-06|1.397539e-05|4.588816e-10|  112  |
| 187 |True   | 1664  |9.372920e-06|9.941382e-06|9.242978e-10|  54   |
| 193 |True   | 1086  |9.053056e-06|1.839944e-05|1.272939e-12|  36   |
| 192 |True   | 1147  |9.632750e-06|1.115339e-05|8.514913e-10|  35   |
| 191 |True   | 1326  |9.258203e-06|1.129607e-05|2.348445e-10|  44   |
| 197 |True   |  501  |9.545080e-06|9.618651e-06|4.203489e-13|   2   |
| 195 |True   |  936  |9.858012e-06|1.114603e-05|6.008901e-10|  27   |
| 199 |True   |  555  |9.998240e-06|1.018390e-05|9.355907e-10|   3   |
| 190 |True   | 2114  |9.232483e-06|4.012776e-05|2.014964e-12|  87   |
| 196 |True   | 1414  |9.205631e-06|1.510587e-05|7.412604e-13|  48   |
| 198 |True   | 1468  |9.260881e-06|1.103409e-05|4.822366e-10|  51   |
| 186 |True   | 3625  |9.077384e-06|1.434906e-05|2.409032e-10|  132  |
| 189 |True   | 3200  |9.790082e-06|1.028774e-05|2.178441e-10|  125  |
| 176 |True   | 8010  |9.163464e-06|1.184381e-05|7.198610e-10|  348  |
| 166 |True   | 16633 |9.835335e-06|1.058944e-05|2.389736e-10|  680  |
